#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,AST/G,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,AST/G,TO,STL,BLK,Bio Link
24,"Taylor, Jack 24 Taylor, Jack",18,15.0,359,19.9,119,328,0.363,82,245,0.335,118,165,0.715,438,24.3,13,13,26,1.4,23,51,2.8,53,25,0,View Bio
10,"Maher, Patrick 10 Maher, Patrick",18,4.0,368,20.4,106,200,0.53,32,80,0.4,95,123,0.772,339,18.8,34,48,82,4.6,26,119,6.6,38,35,5,View Bio
23,"Levin, Aaron 23 Levin, Aaron",12,2.0,240,20.0,78,145,0.538,32,74,0.432,17,25,0.68,205,17.1,29,49,78,6.5,32,9,0.8,14,7,6,View Bio
02,"Yeager, Luke 02 Yeager, Luke",18,8.0,350,19.4,96,225,0.427,46,136,0.338,45,58,0.776,283,15.7,16,14,30,1.7,59,32,1.8,24,24,4,View Bio
12,"Marx, Julian 12 Marx, Julian",18,8.0,332,18.4,78,176,0.443,72,165,0.436,4,5,0.8,232,12.9,11,13,24,1.3,30,24,1.3,10,13,1,View Bio
03,"Parker, Kyle 03 Parker, Kyle",17,9.0,228,13.4,37,97,0.381,15,49,0.306,17,33,0.515,106,6.2,24,20,44,2.6,35,28,1.6,22,17,2,View Bio
44,"Zachary, Tague 44 Zachary, Tague",18,15.0,313,17.4,34,94,0.362,27,81,0.333,6,9,0.667,101,5.6,35,43,78,4.3,44,7,0.4,12,19,29,View Bio
35,"Olson, Cody 35 Olson, Cody",18,2.0,285,15.8,34,72,0.472,14,41,0.341,4,10,0.4,86,4.8,23,19,42,2.3,59,36,2.0,17,16,1,View Bio
22,"Johnson, Evan 22 Johnson, Evan",3,1.0,48,16.0,5,9,0.556,4,7,0.571,0,0,0.0,14,4.7,6,6,12,4.0,8,4,1.3,1,4,1,View Bio
04,"LaMacchia, Anthony 04 LaMacchia, Anthony",12,0.0,82,6.8,13,29,0.448,13,29,0.448,0,0,0.0,39,3.3,3,3,6,0.5,9,5,0.4,1,2,0,View Bio
13,"Porter, Mike 13 Porter, Mike",18,5.0,199,11.1,16,46,0.348,9,35,0.257,11,13,0.846,52,2.9,22,11,33,1.8,42,19,1.1,5,13,0,View Bio
15,"Bartuch, Dylan 15 Bartuch, Dylan",18,4.0,192,10.7,12,25,0.48,6,18,0.333,7,10,0.7,37,2.1,12,6,18,1.0,13,10,0.6,6,11,0,View Bio
33,"Curta, Nick 33 Curta, Nick",18,7.0,240,13.3,7,26,0.269,0,15,0.0,4,6,0.667,18,1.0,25,45,70,3.9,39,1,0.1,6,10,7,View Bio
54,"Hoegh, Stuart 54 Hoegh, Stuart",17,6.0,184,10.8,3,19,0.158,0,3,0.0,1,2,0.5,7,0.4,7,10,17,1.0,31,2,0.1,9,13,1,View Bio
42,"Davis, Ryan 42 Davis, Ryan",16,2.0,69,4.3,5,9,0.556,0,0,0.0,4,4,1.0,14,0.9,6,8,14,0.9,11,0,0.0,1,2,1,View Bio
05,"Gardner, Hayes 05 Gardner, Hayes",10,1.0,32,3.2,3,4,0.75,3,4,0.75,0,0,0.0,9,0.9,1,2,3,0.3,1,1,0.1,1,0,0,View Bio
21,"LeMoine, Brent 21 LeMoine, Brent",12,1.0,30,2.5,0,2,0.0,0,0,0.0,0,0,0.0,0,0.0,0,4,4,0.3,6,0,0.0,0,1,0,View Bio
25,"Knoebber, Nicolas 25 Knoebber, Nicolas",1,0.0,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,View Bio
45,"Page, James 45 Page, James",15,0.0,44,2.9,2,3,0.667,0,0,0.0,2,4,0.5,6,0.4,3,3,6,0.4,8,1,0.1,1,1,0,View Bio
TM,Team  TM Team,18,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,40,35,75,4.2,0,0,0.0,1,0,0,
11,"Walton, Aamir 11 Walton, Aamir",11,0.0,29,2.6,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,2,1,3,0.3,5,1,0.1,1,3,0,View Bio
,Total,18,,3625,201.4,648,1509,0.429,355,982,0.362,335,467,0.717,1986,110.33,312,353,665,36.9,481,350,19.4,223,216,58,
,Opponents,18,,3625,201.4,684,1183,0.578,89,211,0.422,435,610,0.713,1892,105.11,233,615,848,47.1,402,398,22.1,402,123,48,
