Name,GP,PF,PF/G
"#02 Yeager, Luke",25,77,3.1
"#35 Olson, Cody",25,75,3.0
"#44 Zachary, Tague",25,63,2.5
"#13 Porter, Mike",25,57,2.3
"#03 Parker, Kyle",23,54,2.3
"#33 Curta, Nick",25,50,2.0
"#23 Levin, Aaron",17,45,2.6
"#54 Hoegh, Stuart",23,41,1.8
"#12 Marx, Julian",25,39,1.6
"#10 Maher, Patrick",25,37,1.5
"#24 Taylor, Jack",24,27,1.1
"#42 Davis, Ryan",22,19,0.9
"#22 Johnson, Evan",6,18,3.0
"#15 Bartuch, Dylan",25,17,0.7
"#04 LaMacchia, Anthony",17,10,0.6
"#21 LeMoine, Brent",19,10,0.5
"#45 Page, James",22,9,0.4
"#11 Walton, Aamir",14,7,0.5
"#25 Knoebber, Nicolas",4,2,0.5
"#05 Gardner, Hayes",16,1,0.1
