#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
24.0,"Taylor, Jack 24 Taylor, Jack",24,18.0,500,192,493,0.389,129,360,0.358,177,241,0.734,690,28.8
23.0,"Levin, Aaron 23 Levin, Aaron",17,4.0,327,115,209,0.55,52,116,0.448,29,39,0.744,311,18.3
10.0,"Maher, Patrick 10 Maher, Patrick",25,8.0,513,131,254,0.516,42,105,0.4,135,168,0.804,439,17.6
2.0,"Yeager, Luke 02 Yeager, Luke",25,14.0,479,143,317,0.451,68,189,0.36,64,78,0.821,418,16.7
12.0,"Marx, Julian 12 Marx, Julian",25,8.0,434,112,241,0.465,101,223,0.453,11,13,0.846,336,13.4
3.0,"Parker, Kyle 03 Parker, Kyle",23,9.0,312,53,135,0.393,22,72,0.306,26,50,0.52,154,6.7
44.0,"Zachary, Tague 44 Zachary, Tague",25,21.0,447,49,136,0.36,38,118,0.322,9,14,0.643,145,5.8
35.0,"Olson, Cody 35 Olson, Cody",25,8.0,396,50,102,0.49,22,61,0.361,10,18,0.556,132,5.3
13.0,"Porter, Mike 13 Porter, Mike",25,5.0,257,25,62,0.403,15,44,0.341,12,15,0.8,77,3.1
22.0,"Johnson, Evan 22 Johnson, Evan",6,2.0,84,6,16,0.375,4,13,0.308,4,6,0.667,20,3.3
15.0,"Bartuch, Dylan 15 Bartuch, Dylan",25,4.0,268,15,34,0.441,7,25,0.28,14,17,0.824,51,2.0
4.0,"LaMacchia, Anthony 04 LaMacchia, Anthony",17,0.0,105,16,40,0.4,16,39,0.41,0,0,0.0,48,2.8
33.0,"Curta, Nick 33 Curta, Nick",25,10.0,324,16,45,0.356,2,25,0.08,6,8,0.75,40,1.6
54.0,"Hoegh, Stuart 54 Hoegh, Stuart",23,6.0,252,6,26,0.231,0,6,0.0,3,6,0.5,15,0.7
21.0,"LeMoine, Brent 21 LeMoine, Brent",19,3.0,69,1,4,0.25,0,0,0.0,0,1,0.0,2,0.1
42.0,"Davis, Ryan 42 Davis, Ryan",22,2.0,95,6,10,0.6,0,0,0.0,5,7,0.714,17,0.8
5.0,"Gardner, Hayes 05 Gardner, Hayes",16,2.0,44,4,6,0.667,4,6,0.667,0,0,0.0,12,0.8
11.0,"Walton, Aamir 11 Walton, Aamir",14,1.0,41,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
25.0,"Knoebber, Nicolas 25 Knoebber, Nicolas",4,0.0,5,0,2,0.0,0,0,0.0,0,0,0.0,0,0.0
45.0,"Page, James 45 Page, James",22,0.0,73,5,6,0.833,0,0,0.0,2,4,0.5,12,0.5
,Total,25,,5025,945,2138,0.442,522,1402,0.372,507,685,0.74,2919,116.76
,Opponents,25,,5025,1002,1693,0.592,122,300,0.407,575,820,0.701,2701,108.04
