Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Finlandia University,11/15/13,144-99,45,43-95/36-74,.453/.486,21-58/3-15,.362/.200,37-54/24-40,.685-.600,61/45 16,23/18,21/34,5/2,21/10,31/34
Crossroads College,11/17/13,173-123,50,59-125/59-80,.472/.738,30-79/2-7,.380/.286,25-29/3-9,.862-.333,49/46 3,28/31,7/34,1/1,21/5,16/21
Wartburg College,11/20/13,88-79,9,26-60/30-41,.433/.732,12-38/2-5,.316/.400,24-33/17-23,.727-.739,19/36 -17,13/12,10/30,1/2,14/8,23/27
Illinois College,11/23/13,132-126,6,45-90/47-87,.500/.540,22-58/11-28,.379/.393,20-26/21-27,.769-.778,37/55 -18,18/35,8/16,2/3,11/4,25/25
Beloit College,11/30/13,128-120,8,46-81/46-72,.568/.639,18-44/3-8,.409/.375,18-27/25-41,.667-.610,34/40 -6,26/22,12/13,3/3,5/8,32/19
Monmouth College,12/04/13,122-92,30,37-89/40-69,.416/.580,22-62/0-1,.355/.000,26-34/12-24,.765-.500,42/53 -11,19/14,12/33,2/1,18/5,24/23
St. Norbert College,12/07/13,115-121,-6,35-85/40-60,.412/.667,25-67/6-10,.373/.600,20-26/35-47,.769-.745,28/52 -24,21/19,11/22,3/0,9/5,35/22
Simpson,12/14/13,156-150,6,44-98/51-86,.449/.593,23-66/1-6,.348/.167,45-54/47-64,.833-.734,40/62 -22,25/21,10/24,5/3,14/7,40/36
Ripon College,01/04/14,99-126,-27,38-85/46-69,.447/.667,12-45/5-7,.267/.714,11-16/29-36,.688-.806,27/45 -18,15/21,18/20,4/3,7/12,30/17
College of Faith,01/06/14,164-144,20,59-113/59-95,.522/.621,31-72/11-22,.431/.500,15-18/15-26,.833-.577,54/46 8,43/27,14/19,2/2,12/10,23/16
Knox College,01/08/14,124-85,39,42-105/33-65,.400/.508,24-69/3-6,.348/.500,16-19/16-23,.842-.696,60/44 16,25/21,7/26,4/0,16/6,25/18
Carroll University,01/11/14,105-95,10,36-90/39-55,.400/.709,24-62/0-0,.387/NaN,9-15/17-26,.600-.654,32/48 -16,26/23,10/28,3/4,17/5,20/18
Cornell College,01/14/14,118-97,21,37-74/37-62,.500/.597,17-40/7-11,.425/.636,27-37/16-26,.730-.615,43/31 12,22/28,17/23,4/6,13/8,21/27
Lawrence University,01/18/14,94-111,-17,28-87/36-59,.322/.610,13-45/5-16,.289/.313,25-35/34-50,.714-.680,35/53 -18,12/21,12/23,1/9,13/4,34/26
Illinois College,01/22/14,75-98,-23,27-75/33-60,.360/.550,10-44/9-20,.227/.450,11-18/23-28,.611-.821,37/45 -8,16/23,14/17,2/2,9/6,22/21
Ripon College,01/25/14,110-102,8,40-85/36-70,.471/.514,17-51/6-19,.333/.316,13-17/24-28,.765-.857,36/48 -12,22/22,10/20,5/1,11/6,20/20
Monmouth College,01/28/14,121-115,6,33-61/42-79,.541/.532,23-41/4-6,.561/.667,32-40/27-37,.800-.730,29/46 -17,20/31,20/16,5/0,10/12,27/27
Lake Forest College,02/01/14,100-95,5,32-90/25-52,.356/.481,19-62/6-15,.306/.400,17-23/39-50,.739-.780,44/50 -6,17/14,12/28,5/3,15/11,31/21
Knox College,02/05/14,115-94,21,37-94/36-64,.394/.563,22-65/5-12,.338/.417,19-31/17-25,.613-.680,42/40 2,17/19,9/25,2/0,17/5,22/26
Beloit College,02/08/14,111-98,13,35-79/36-62,.443/.581,27-58/0-1,.466/.000,14-21/26-35,.667-.743,29/51 -22,24/19,10/26,3/4,13/6,27/25
St. Norbert College,02/15/14,88-113,-25,29-76/39-62,.382/.629,19-56/6-12,.339/.500,11-16/29-39,.688-.744,31/46 -15,14/24,18/17,2/3,9/13,31/18
Cornell College,02/19/14,107-93,14,30-81/35-64,.370/.547,17-57/0-11,.298/.000,30-38/23-35,.789-.657,41/49 -8,14/19,8/24,3/4,13/1,28/27
Lawrence University,02/22/14,122-111,11,41-82/38-72,.500/.528,24-56/13-28,.429/.464,16-28/22-33,.571-.667,38/52 -14,22/23,15/25,5/2,10/6,27/22
Ripon College,02/28/14,122-115,7,36-61/46-76,.590/.605,27-44/11-27,.614/.407,23-27/12-17,.852-.706,25/35 -10,31/27,13/11,1/1,4/8,18/21
St. Norbert College,03/01/14,86-99,-13,30-77/37-58,.390/.638,23-63/3-7,.365/.429,3-3/22-31,1.000-.710,31/44 -13,23/25,14/14,1/0,4/4,26/15
