Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#24 Taylor, Jack",24,177,241,0.734,7.4,10.0
"#10 Maher, Patrick",25,135,168,0.804,5.4,6.7
"#02 Yeager, Luke",25,64,78,0.821,2.6,3.1
"#23 Levin, Aaron",17,29,39,0.744,1.7,2.3
"#03 Parker, Kyle",23,26,50,0.52,1.1,2.2
"#15 Bartuch, Dylan",25,14,17,0.824,0.6,0.7
"#13 Porter, Mike",25,12,15,0.8,0.5,0.6
"#12 Marx, Julian",25,11,13,0.846,0.4,0.5
"#35 Olson, Cody",25,10,18,0.556,0.4,0.7
"#44 Zachary, Tague",25,9,14,0.643,0.4,0.6
"#33 Curta, Nick",25,6,8,0.75,0.2,0.3
"#42 Davis, Ryan",22,5,7,0.714,0.2,0.3
"#22 Johnson, Evan",6,4,6,0.667,0.7,1.0
"#54 Hoegh, Stuart",23,3,6,0.5,0.1,0.3
"#45 Page, James",22,2,4,0.5,0.1,0.2
"#21 LeMoine, Brent",19,0,1,0.0,0.0,0.1
