Name,GP,Pts,Pts/G
"#24 Taylor, Jack",24,690,28.8
"#10 Maher, Patrick",25,439,17.6
"#02 Yeager, Luke",25,418,16.7
"#12 Marx, Julian",25,336,13.4
"#23 Levin, Aaron",17,311,18.3
"#03 Parker, Kyle",23,154,6.7
"#44 Zachary, Tague",25,145,5.8
"#35 Olson, Cody",25,132,5.3
"#13 Porter, Mike",25,77,3.1
"#15 Bartuch, Dylan",25,51,2.0
"#04 LaMacchia, Anthony",17,48,2.8
"#33 Curta, Nick",25,40,1.6
"#22 Johnson, Evan",6,20,3.3
"#42 Davis, Ryan",22,17,0.8
"#54 Hoegh, Stuart",23,15,0.7
"#05 Gardner, Hayes",16,12,0.8
"#45 Page, James",22,12,0.5
"#21 LeMoine, Brent",19,2,0.1
