#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
24,"Taylor, Jack 24 Taylor, Jack",24,18.0,500,20.8,192,493,0.389,129,360,0.358,177,241,0.734,690,28.8,21,16,37,1.5,27,73,64,30,0,View Bio
23,"Levin, Aaron 23 Levin, Aaron",17,4.0,327,19.2,115,209,0.55,52,116,0.448,29,39,0.744,311,18.3,43,66,109,6.4,45,12,15,12,9,View Bio
10,"Maher, Patrick 10 Maher, Patrick",25,8.0,513,20.5,131,254,0.516,42,105,0.4,135,168,0.804,439,17.6,48,62,110,4.4,37,200,54,48,7,View Bio
02,"Yeager, Luke 02 Yeager, Luke",25,14.0,479,19.2,143,317,0.451,68,189,0.36,64,78,0.821,418,16.7,23,23,46,1.8,77,52,40,37,4,View Bio
12,"Marx, Julian 12 Marx, Julian",25,8.0,434,17.4,112,241,0.465,101,223,0.453,11,13,0.846,336,13.4,15,20,35,1.4,39,36,17,18,1,View Bio
03,"Parker, Kyle 03 Parker, Kyle",23,9.0,312,13.6,53,135,0.393,22,72,0.306,26,50,0.52,154,6.7,29,24,53,2.3,54,42,31,24,2,View Bio
44,"Zachary, Tague 44 Zachary, Tague",25,21.0,447,17.9,49,136,0.36,38,118,0.322,9,14,0.643,145,5.8,43,61,104,4.2,63,10,13,23,35,View Bio
35,"Olson, Cody 35 Olson, Cody",25,8.0,396,15.8,50,102,0.49,22,61,0.361,10,18,0.556,132,5.3,32,33,65,2.6,75,46,19,23,4,View Bio
22,"Johnson, Evan 22 Johnson, Evan",6,2.0,84,14.0,6,16,0.375,4,13,0.308,4,6,0.667,20,3.3,9,10,19,3.2,18,9,3,12,1,View Bio
13,"Porter, Mike 13 Porter, Mike",25,5.0,257,10.3,25,62,0.403,15,44,0.341,12,15,0.8,77,3.1,25,13,38,1.5,57,23,10,16,0,View Bio
04,"LaMacchia, Anthony 04 LaMacchia, Anthony",17,0.0,105,6.2,16,40,0.4,16,39,0.41,0,0,0.0,48,2.8,4,4,8,0.5,10,8,1,3,0,View Bio
15,"Bartuch, Dylan 15 Bartuch, Dylan",25,4.0,268,10.7,15,34,0.441,7,25,0.28,14,17,0.824,51,2.0,19,13,32,1.3,17,15,12,14,0,View Bio
33,"Curta, Nick 33 Curta, Nick",25,10.0,324,13.0,16,45,0.356,2,25,0.08,6,8,0.75,40,1.6,36,57,93,3.7,50,2,11,12,9,View Bio
42,"Davis, Ryan 42 Davis, Ryan",22,2.0,95,4.3,6,10,0.6,0,0,0.0,5,7,0.714,17,0.8,11,12,23,1.0,19,0,1,3,1,View Bio
05,"Gardner, Hayes 05 Gardner, Hayes",16,2.0,44,2.8,4,6,0.667,4,6,0.667,0,0,0.0,12,0.8,2,3,5,0.3,1,1,1,0,0,View Bio
54,"Hoegh, Stuart 54 Hoegh, Stuart",23,6.0,252,11.0,6,26,0.231,0,6,0.0,3,6,0.5,15,0.7,15,19,34,1.5,41,3,13,21,1,View Bio
45,"Page, James 45 Page, James",22,0.0,73,3.3,5,6,0.833,0,0,0.0,2,4,0.5,12,0.5,5,4,9,0.4,9,2,2,4,0,View Bio
21,"LeMoine, Brent 21 LeMoine, Brent",19,3.0,69,3.6,1,4,0.25,0,0,0.0,0,1,0.0,2,0.1,8,9,17,0.9,10,1,2,3,0,View Bio
11,"Walton, Aamir 11 Walton, Aamir",14,1.0,41,2.9,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,2,3,5,0.4,7,1,1,3,0,View Bio
25,"Knoebber, Nicolas 25 Knoebber, Nicolas",4,0.0,5,1.3,0,2,0.0,0,0,0.0,0,0,0.0,0,0.0,0,1,1,0.3,2,0,0,0,0,View Bio
TM,Team  TM Team,25,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,56,45,101,4.0,0,0,2,0,0,
,Total,25,,5025,201.0,945,2138,0.442,522,1402,0.372,507,685,0.74,2919,116.76,446,498,944,37.8,658,536,312,306,74,
,Opponents,25,,5025,201.0,1002,1693,0.592,122,300,0.407,575,820,0.701,2701,108.04,322,840,1162,46.5,572,559,568,175,59,
