Name,GP,FGM,FGA,FG%,FGM/G,FGA/G
"#24 Taylor, Jack",24,192,493,0.389,8.0,20.5
"#02 Yeager, Luke",25,143,317,0.451,5.7,12.7
"#10 Maher, Patrick",25,131,254,0.516,5.2,10.2
"#23 Levin, Aaron",17,115,209,0.55,6.8,12.3
"#12 Marx, Julian",25,112,241,0.465,4.5,9.6
"#03 Parker, Kyle",23,53,135,0.393,2.3,5.9
"#35 Olson, Cody",25,50,102,0.49,2.0,4.1
"#44 Zachary, Tague",25,49,136,0.36,2.0,5.4
"#13 Porter, Mike",25,25,62,0.403,1.0,2.5
"#33 Curta, Nick",25,16,45,0.356,0.6,1.8
"#04 LaMacchia, Anthony",17,16,40,0.4,0.9,2.4
"#15 Bartuch, Dylan",25,15,34,0.441,0.6,1.4
"#42 Davis, Ryan",22,6,10,0.6,0.3,0.5
"#54 Hoegh, Stuart",23,6,26,0.231,0.3,1.1
"#22 Johnson, Evan",6,6,16,0.375,1.0,2.7
"#45 Page, James",22,5,6,0.833,0.2,0.3
"#05 Gardner, Hayes",16,4,6,0.667,0.3,0.4
"#21 LeMoine, Brent",19,1,4,0.25,0.1,0.2
"#25 Knoebber, Nicolas",4,0,2,0.0,0.0,0.5
