0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,Rel.,,Career,Career,Career
Player,Rounds,Strokes,Round,Rounds,Events,1,5,10,To Par,Average,Rounds,Strokes,Average
Nina Kouchi,9,671,70,2,5,3,3,5,+2,74.6,31,2354,75.9
Danielle Oberlander,9,716,75,-,5,-,1,2,+7,79.6,42,3446,82.0
Julia Echikson,8,658,75,-,4,-,-,-,+10,82.3,53,4673,88.2
Aubrie Torhorst,9,742,80,-,5,-,-,1,+10,82.4,13,1079,83.0
Zoe Robinson,9,770,79,-,5,-,-,-,+13,85.6,13,1110,85.4
Lexi Mueldener,7,629,78,-,4,-,-,-,+18,89.9,11,964,87.6
FOUR-PLAYER TEAM,9,2876,306,2,5,3,4,8,+31,319.6,,,
