Statistic,High,Player,Opponent
AT BATS,5,Aiyana Turpen-Scott; Summer Wilke,Knox College (4/29/2012); Lake Forest College (4/22/2012)
RUNS SCORED,3,Summer Wilke,Knox College (4/29/2012)
HITS,4,Amanda Stromquist,Knox College (4/29/2012)
RBIS,3,Summer Wilke,Wartburg College (3/24/2012)
DOUBLES,2,Amanda Stromquist,Lake Forest College (4/22/2012)
TRIPLES,1,Christina Colver; Jayme Wiebold; Summer Wilke; Jessica Menary,Illinois College (3/31/2012); Westminster (4/6/2012); Westminster (4/7/2012); Knox College (4/29/2012); Stephens College (3/19/2012)
HOME RUNS,1,Amanda Stromquist,Washington Univ. (4/7/2012)
WALKS,2,Lindsay Fujimoto; Summer Wilke; Jennifer Fulton; Christina Colver; Jayme Wiebold,Wartburg College (3/24/2012); Washington Univ. (4/7/2012); Westminster (4/7/2012); Knox College (4/29/2012); Greenville (3/21/2012)
STRIKEOUTS,3,Jennifer Fulton; Amanda Stromquist; Jayme Wiebold,Knox College (4/29/2012); Westminster (Mo.) (3/4/2012); Coe College (3/28/2012)
SAC HITS,2,Aniela Wendt,Washington Univ. (4/7/2012)
SAC FLIES,1,Summer Wilke,Westminster (4/6/2012)
STOLEN BASES,2,Jennifer Fulton,Greenville (3/21/2012)
HIT BY PITCH,2,Jennifer Fulton,Greenville (3/21/2012)
CAUGHT STEALING,1,Jennifer Fulton; Aniela Wendt; Summer Wilke; Amanda Stromquist,Illinois College (3/31/2012); Westminster (4/6/2012); Washington Univ. (4/7/2012); Westminster (4/7/2012); Loras College (4/25/2012)
HIT INTO DP,2,Jessica Menary,Wartburg College (3/24/2012)
