Player,2,3,4,5+,Total
"Wiebold, Jayme",2,-,-,-,2
2,-,1,-,-,1
"Stromquist, Amanda",1,-,-,-,1
"Colver, Christina",1,-,-,-,1
TEAM,4,1,0,0,5
