Statistic,High,Player,Opponent
INNINGS PITCHED,7.0,Jennifer Fulton; Amanda Stromquist,Illinois College (3/31/2012); Westminster (4/6/2012); Westminster (4/7/2012); Ripon College (4/14/2012)
RUNS ALLOWED,14.0,Jennifer Fulton,Coe College (3/28/2012)
EARNED RUNS,14.0,Jennifer Fulton,Coe College (3/28/2012)
WALKS ALLOWED,5.0,Summer Wilke,Loras College (4/25/2012)
STRIKEOUTS,4.0,Jennifer Fulton; Amanda Stromquist,Illinois College (3/31/2012); Washington Univ. (4/7/2012); Westminster (4/7/2012)
HITS ALLOWED,16.0,Amanda Stromquist,Illinois College (3/31/2012); Simpson (4/3/2012)
DOUBLES ALLOWED,5.0,Amanda Stromquist,Illinois College (3/31/2012); Coe College (3/28/2012); Simpson (4/3/2012)
TRIPLES ALLOWED,1.0,Jennifer Fulton; Amanda Stromquist; Summer Wilke,Wartburg College (3/24/2012); Illinois College (3/31/2012); Illinois College (3/31/2012); Neb. Wesleyan (4/6/2012); Washington Univ. (4/7/2012)
HOME RUNS ALLOWED,4.0,Jennifer Fulton,Coe College (3/28/2012)
WILD PITCHES,5.0,Summer Wilke,Loras College (4/25/2012)
HIT BATTERS,2.0,Jennifer Fulton,Knox College (4/29/2012)
