#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB,Bio Link
7.0,"Stromquist, Amanda 7Stromquist, Amanda",0.588,1.447,7-7,17,2,10,3,0,0,2,13,0.765,2,3,2,0,0.682,0,0,0-0,View Bio
5.0,"Turpen-Scott, Aiyana 5Turpen-Scott, Aiyana",0.368,0.768,7-7,19,1,7,0,0,0,2,7,0.368,0,1,2,0,0.4,0,1,0-0,View Bio
2.0,2  22,0.348,0.878,7-7,23,4,8,1,1,0,2,11,0.478,2,0,1,0,0.4,0,0,0-1,
22.0,"Wiebold, Jayme 22Wiebold, Jayme",0.286,0.661,7-7,21,5,6,0,0,0,0,6,0.286,3,0,0,0,0.375,0,0,0-0,View Bio
3.0,"Ryan, Grace 3Ryan, Grace",0.167,0.453,7-7,6,0,1,0,0,0,0,1,0.167,1,0,1,0,0.286,0,1,0-1,View Bio
8.0,8  88,0.167,0.334,3-3,6,1,1,0,0,0,0,1,0.167,0,0,4,0,0.167,0,0,0-0,
12.0,"Colver, Christina 12Colver, Christina",0.125,0.513,7-7,16,2,2,0,1,0,1,4,0.25,3,0,2,0,0.263,0,3,0-0,View Bio
18.0,"Menary, Jessica 18Menary, Jessica",0.118,0.368,7-7,17,2,2,0,0,0,1,2,0.118,3,0,4,0,0.25,0,0,0-0,View Bio
6.0,"Fulton, Jennifer 6Fulton, Jennifer",0.053,0.153,7-7,19,0,1,0,0,0,2,1,0.053,1,0,4,0,0.1,0,1,0-1,View Bio
4.0,"Wendt, Aniela 4Wendt, Aniela",0.05,0.236,7-7,20,1,1,1,0,0,0,2,0.1,2,0,6,0,0.136,0,1,0-0,View Bio
11.0,"Fujimoto, Lindsay 11Fujimoto, Lindsay",0.0,0.0,3-3,4,0,0,0,0,0,0,0,0.0,0,0,3,0,0.0,0,1,0-0,View Bio
,Totals,0.232,0.603,7-7,168,18,39,5,2,0,10,48,0.286,17,4,29,0,0.317,0,8,0-3,
,Opponents,0.371,0.944,7-7,205,56,76,15,2,4,44,107,0.522,16,3,15,0,0.422,1,2,18-20,
