#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
6.0,"Fulton, Jennifer 6 Fulton, Jennifer",40,24,16,0,1.0,0,7,1,0,0,View Bio
18.0,"Menary, Jessica 18 Menary, Jessica",8,4,4,0,1.0,0,0,0,0,0,View Bio
12.0,"Colver, Christina 12 Colver, Christina",24,7,16,1,0.958,1,0,0,0,0,View Bio
3.0,"Ryan, Grace 3 Ryan, Grace",44,37,5,2,0.955,0,9,1,2,0,View Bio
7.0,"Stromquist, Amanda 7 Stromquist, Amanda",38,25,11,2,0.947,0,10,1,0,0,View Bio
4.0,"Wendt, Aniela 4 Wendt, Aniela",9,8,0,1,0.889,0,0,0,0,0,View Bio
11.0,"Fujimoto, Lindsay 11 Fujimoto, Lindsay",8,2,5,1,0.875,0,0,0,0,0,View Bio
2.0,2  2 2,8,5,2,1,0.875,0,1,0,0,0,
22.0,"Wiebold, Jayme 22 Wiebold, Jayme",30,11,14,5,0.833,1,0,0,0,0,View Bio
5.0,"Turpen-Scott, Aiyana 5 Turpen-Scott, Aiyana",11,5,4,2,0.818,0,9,1,5,0,View Bio
8.0,8  8 8,0,0,0,0,0.0,0,0,0,0,0,
,Totals,220,128,77,15,0.932,2,36,4,7,0,
,Opponents,206,135,61,10,0.951,3,0,6,4,0,
