#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
7.0,"Stromquist, Amanda 7Stromquist, Amanda",6.23,2.05,1-11,19-14,5,0-0,0,78.2,137,103,70,24,25,33,4,6,397,0.345,13,1,0,2,5,View Bio
2.0,2  22,8.87,3.07,0-4,14-4,0,0-0,0,30.0,68,57,38,24,5,12,2,4,156,0.436,13,0,1,1,4,
6.0,"Fulton, Jennifer 6Fulton, Jennifer",10.5,2.71,1-10,17-9,3,0-0,0,48.2,111,87,73,21,19,22,5,9,255,0.435,13,4,0,5,6,View Bio
,Totals,8.05,2.45,2-25,50-27,8,0,0,157.1,316,247,181,69,49,67,11,19,808,0.391,39,5,1,8,15,
,Opponents,1.48,1.02,25-2,45-27,13,10,0,166.0,107,52,35,62,164,17,5,1,581,0.184,18,11,1,1,24,
