#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
7.0,"Stromquist, Amanda 7 Stromquist, Amanda",0.288,0.78,27-27,66,6,19,6,0,1,5,28,0.424,4,3,18,0,0.356,0,1,3-4,View Bio
,2  2,0.24,0.598,27-27,75,12,18,1,1,0,7,21,0.28,9,0,18,0,0.318,1,2,2-4,
5.0,"Turpen-Scott, Aiyana 5 Turpen-Scott, Aiyana",0.224,0.496,27-27,67,4,15,1,0,0,3,16,0.239,2,1,13,1,0.257,0,1,0-0,View Bio
22.0,"Wiebold, Jayme 22 Wiebold, Jayme",0.222,0.595,27-27,72,8,16,0,2,0,8,20,0.278,10,0,15,1,0.317,0,0,0-1,View Bio
4.0,"Wendt, Aniela 4 Wendt, Aniela",0.179,0.515,27-27,67,8,12,4,0,0,1,16,0.239,6,3,23,0,0.276,0,5,2-4,View Bio
12.0,"Colver, Christina 12 Colver, Christina",0.154,0.493,27-27,65,3,10,4,1,0,5,16,0.246,8,0,17,0,0.247,0,4,1-1,View Bio
18.0,"Menary, Jessica 18 Menary, Jessica",0.105,0.317,27-26,57,5,6,0,1,0,2,8,0.14,5,0,22,0,0.177,0,2,2-4,View Bio
6.0,"Fulton, Jennifer 6 Fulton, Jennifer",0.102,0.362,27-27,59,3,6,1,0,0,4,7,0.119,9,2,15,1,0.243,0,1,3-4,View Bio
3.0,"Ryan, Grace 3 Ryan, Grace",0.1,0.317,24-24,20,0,2,0,0,0,1,2,0.1,3,0,4,0,0.217,0,2,0-1,View Bio
,8  8,0.1,0.2,5-5,10,1,1,0,0,0,0,1,0.1,0,0,7,0,0.1,0,0,0-0,
11.0,"Fujimoto, Lindsay 11 Fujimoto, Lindsay",0.087,0.41,18-18,23,2,2,0,0,0,0,2,0.087,6,2,12,0,0.323,0,6,1-1,View Bio
,Totals,0.184,0.511,27-27,581,52,107,17,5,1,36,137,0.236,62,11,164,3,0.275,1,24,14-24,
,Opponents,0.391,1.01,27-27,808,247,316,67,11,19,205,462,0.572,69,5,49,0,0.438,8,15,76-82,
