Player,2,3,4,5+,Total
"Stromquist, Amanda",2,2,1,-,5
2,3,1,-,-,4
"Turpen-Scott, Aiyana",3,-,-,-,3
"Wiebold, Jayme",2,1,-,-,3
"Wendt, Aniela",-,1,-,-,1
TEAM,10,5,1,0,16
