Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
3/4/2012,at,Westminster (Mo.),L,0-7,22,0,1,0,0,0,0,2,0,1,0,0,0,0,0,14,18,14,6,0.045
3/4/2012,at,Westminster (Mo.),L,1-9,19,1,2,1,2,0,0,0,0,1,0,0,1,0,0,10,17,5,1,0.105
3/19/2012,at,Stephens College,L,5-13,23,5,4,2,1,1,0,2,0,0,1,0,0,0,0,7,17,8,6,0.174
3/21/2012,at,Greenville,L,1-5,24,1,4,1,1,0,0,7,0,1,0,0,2,0,0,5,18,10,4,0.167
3/21/2012,at,Greenville,L,4-6,29,4,8,3,0,0,0,0,0,4,0,4,0,0,0,6,18,7,2,0.276
3/24/2012,,Wartburg College,W,8-5,30,8,14,7,3,0,0,3,0,0,0,0,1,0,0,4,21,14,2,0.467
3/24/2012,,Wartburg College,L,1-9,24,1,5,1,0,0,0,0,0,0,0,0,2,0,1,1,21,10,2,0.208
3/28/2012,at,Coe College,L,0-7,21,0,1,0,0,0,0,1,0,0,0,0,1,0,0,17,18,7,1,0.048
3/28/2012,at,Coe College,L,2-21,17,2,2,2,1,0,0,2,0,0,1,0,0,0,0,5,12,4,2,0.118
3/31/2012,,Illinois College,L,1-10,19,1,3,1,1,1,0,3,0,0,1,0,1,0,0,9,18,13,2,0.158
3/31/2012,,Illinois College,L,2-3,25,2,7,2,1,0,0,1,0,0,0,1,3,0,0,3,21,11,2,0.28
4/3/2012,at,Simpson,L,0-12,16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,12,8,4,0.063
4/3/2012,at,Simpson,L,0-8,16,0,1,0,1,0,0,2,0,0,0,0,2,0,0,2,14,8,3,0.063
4/6/2012,,Neb. Wesleyan,L,2-12,21,2,3,2,1,0,0,4,0,0,0,1,0,0,0,9,18,10,2,0.143
4/6/2012,,Westminster,L,2-7,22,2,4,2,0,1,0,4,0,3,1,1,0,1,0,9,21,10,1,0.182
4/7/2012,,Washington Univ.,L,2-12,13,2,2,1,0,0,1,5,0,0,1,0,4,0,0,2,15,8,1,0.154
4/7/2012,,Westminster,W,6-5,19,6,4,4,1,1,0,8,0,2,2,0,3,0,0,5,21,10,2,0.211
4/14/2012,vs,Lawrence University,L,0-12,16,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,12,5,3,0.0
4/14/2012,vs,Ripon College,L,0-10,22,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,21,8,4,0.091
4/14/2012,vs,St. Norbert College,L,0-8,22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,17,13,2,0.182
4/22/2012,at,Lake Forest College,L,6-7,36,6,9,3,2,0,0,3,0,0,1,0,0,0,0,1,25,16,1,0.25
4/22/2012,at,Lake Forest College,L,1-9,18,1,3,0,1,0,0,1,0,0,0,0,1,0,0,1,12,5,1,0.167
4/25/2012,,Loras College,L,0-9,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,18,6,2,0.105
4/25/2012,,Loras College,L,0-14,18,0,4,0,1,0,0,4,0,1,1,0,0,0,1,5,15,7,3,0.222
4/28/2012,at,Monmouth College,L,1-9,20,1,5,0,0,0,0,1,0,0,0,2,2,0,0,2,17,13,2,0.25
4/28/2012,at,Monmouth College,L,0-8,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,14,7,3,0.167
4/29/2012,,Knox College,L,7-10,32,7,9,4,0,1,0,8,0,0,1,1,1,0,0,8,21,12,4,0.281
Total,,,,52-247,581,52,107,36,17,5,1,62,0,14,10,11,24,1,3,164,472,249,68,
