Statistic,High,Opponent
PUTOUTS,25,Lake Forest College (4/22/2012)
ASSISTS,16,Lake Forest College (4/22/2012)
ERRORS,6,Westminster (Mo.) (3/4/2012); Stephens College (3/19/2012)
PASSED BALLS,5,Greenville (3/21/2012)
DPS TURNED,1,Knox College (4/29/2012); St. Norbert College (4/14/2012)
