Statistic,High,Opponent
INNINGS PITCHED,8.1,Lake Forest College (4/22/2012)
RUNS ALLOWED,21.0,Coe College (3/28/2012)
EARNED RUNS,21.0,Coe College (3/28/2012)
WALKS ALLOWED,6.0,Coe College (3/28/2012)
STRIKEOUTS,5.0,Lake Forest College (4/22/2012)
HITS ALLOWED,21.0,Coe College (3/28/2012)
DOUBLES ALLOWED,5.0,Illinois College (3/31/2012); Loras College (4/25/2012); Coe College (3/28/2012); Simpson (4/3/2012)
TRIPLES ALLOWED,1.0,Wartburg College (3/24/2012); Illinois College (3/31/2012); Illinois College (3/31/2012); Neb. Wesleyan (4/6/2012); Washington Univ. (4/7/2012)
HOME RUNS ALLOWED,5.0,Coe College (3/28/2012)
WILD PITCHES,6.0,Loras College (4/25/2012)
HIT BATTERS,2.0,Knox College (4/29/2012)
