#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
6.0,"Fulton, Jennifer 6 Fulton, Jennifer",168,128,34,6,0.964,0,14,2,0,0,View Bio
7.0,"Stromquist, Amanda 7 Stromquist, Amanda",129,92,31,6,0.953,1,43,3,0,0,View Bio
4.0,"Wendt, Aniela 4 Wendt, Aniela",42,37,3,2,0.952,0,0,0,0,0,View Bio
3.0,"Ryan, Grace 3 Ryan, Grace",84,68,11,5,0.94,0,48,4,8,1,View Bio
18.0,"Menary, Jessica 18 Menary, Jessica",14,9,4,1,0.929,0,0,0,0,0,View Bio
5.0,"Turpen-Scott, Aiyana 5 Turpen-Scott, Aiyana",30,22,5,3,0.9,0,28,2,18,0,View Bio
12.0,"Colver, Christina 12 Colver, Christina",105,27,66,12,0.886,2,0,0,0,0,View Bio
2.0,2  2 2,32,20,8,4,0.875,0,19,1,0,0,
11.0,"Fujimoto, Lindsay 11 Fujimoto, Lindsay",55,27,20,8,0.855,0,0,0,0,0,View Bio
22.0,"Wiebold, Jayme 22 Wiebold, Jayme",123,39,66,18,0.854,1,0,0,0,0,View Bio
8.0,8  8 8,7,3,1,3,0.571,0,0,0,0,0,
,Totals,789,472,249,68,0.914,2,152,12,26,1,
,Opponents,729,498,202,29,0.96,9,28,20,10,0,
