Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"August 31, 2018 (Friday)",1:00 PM,Home,Wartburg College,"St. Paul, MN (Home)/ Macalester Stadium",,,"L,0-3",Box ScoreRecap
"September 5, 2018 (Wednesday)",5:00 PM,Away,University of Wisconsin-Eau Claire,"Eau Claire, WI",,,"L,1-4",Box ScoreRecap
"September 8, 2018 (Saturday)",2:00 PM,Away,Luther College,"Decorah, IA",,,"W,2-1",Box ScoreRecap
"September 11, 2018 (Tuesday)",4:00 PM,Away,Hamline University,"St. Paul, MN",,,"L,1-22OT",Box ScoreRecap
"September 15, 2018 (Saturday)",7:30 PM,Home,St. Catherine University,"St. Paul, MN (Home)/ Macalester Stadium",,,"T,1-1",Box ScoreRecap
"September 20, 2018 (Thursday)",TBD,Home,University of Northwestern (MN),"St. Paul, MN (Home)/ Macalester Stadium",,,Canceled,
"September 22, 2018 (Saturday)",1:00 PM,Away,Carleton College,"Northfield, MN",,,"L,1-4",Box ScoreRecap
"September 25, 2018 (Tuesday)",4:30 PM,Home,Concordia College (Minn.),"St. Paul, MN (Home)/ Macalester Stadium",,,"T,1-1",Box ScoreRecap
"September 29, 2018 (Saturday)",1:00 PM,Away,University of St. Thomas,"St. Paul, MN",,,"L,0-3",Box ScoreRecap
"October 4, 2018 (Thursday)",7:30 PM,Home,College of St. Scholastica,"St. Paul, MN (Home)/ Macalester Stadium",,,"W,1-0",Box ScoreRecap
"October 6, 2018 (Saturday)",4:30 PM,Home,St. Olaf College,"St. Paul, MN (Home)/ Macalester Stadium",,,"T,0-0",Box ScoreRecap
"October 9, 2018 (Tuesday)",7:30 PM,Away,Augsburg University,"Minneapolis, MN",,,"L,0-1",Box ScoreRecap
"October 11, 2018 (Thursday)",7:30 PM,Home,University of Wisconsin-Superior,"St. Paul, MN (Home)/ Macalester Stadium",,,"W,1-0",Box ScoreRecap
"October 13, 2018 (Saturday)",7:30 PM,Home,Bethel University,"St. Paul, MN (Home)/ Macalester Stadium",,,"L,0-4",Box ScoreRecap
"October 20, 2018 (Saturday)",1:00 PM,Home,Saint Mary's University (Minn.),"St. Paul, MN (Home)/ Macalester Stadium",,,"W,3-1",Box ScoreRecap
"October 24, 2018 (Wednesday)",3:30 PM,Away,College of Saint Benedict,"St. Joseph, MN",,,"L,0-1",Box ScoreRecap
"October 27, 2018 (Saturday)",1:00 PM,Home,Gustavus Adolphus College,"St. Paul, MN (Home)/ Macalester Stadium",,,"T,0-0",Box ScoreRecap
