Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Expenses,Track and Field Outdoor Total Expenses,Track and Field X Country Men's Team Expenses,Track and Field X Country Women's Team Expenses,Track and Field X Country Coed Team Expenses,Track and Field X Country Total Expenses,Volleyball Men's Team Expenses,Volleyball Women's Team Expenses,Volleyball Coed Team Expenses,Volleyball Total Expenses,Water Polo Men's Team Expenses,Water Polo Women's Team Expenses,Water Polo Coed Team Expenses,Water Polo Total Expenses,Weight Lifting Men's Team Expenses,Weight Lifting Women's Team Expenses,Weight Lifting Coed Team Expenses,Weight Lifting Total Expenses,Wrestling Men's Team Expenses,Wrestling Women's Team Expenses,Wrestling Coed Team Expenses,Wrestling Total Expenses,Other Sports Men's Team Expenses,Other Sports Women's Team Expenses,Other Sports Coed Team Expenses,Other Sports Total Expenses,Total Men's Team Expenses,Total Women's Team Expenses,Total Coed Team Expenses,Not Allocated by Gender/Sport Expenses,Grand Total Expenses
2003,239716,00389200,Saint Norbert College,WI,NCAA Division III (with football),,1,NCAA,857,1149,2006,,,,,,,,,46792,,,46792,86018,87069,,173087,,,,,,,,,60589,46708,,107297,,,,,,,,,,,,,,,,,259356,,,259356,21031,19982,,41013,,,,,309293,,,309293,,,,,,,,,,,,,,,,,,,,,,,,,28813,24421,,53234,,45621,,45621,,,,,,,,,,23151,,23151,,,,,,,,,,,,,9502,7561,,17063,,,,,,,,,,,,,,67866,,67866,,,,,,,,,,,,,,,,,821394,322379,,,1143773
2004,239716,00389200,Saint Norbert College,WI,NCAA Division III (with football),,1,NCAA,840,1119,1959,,,,,,,,,59370,,,59370,81812,81757,,163569,,,,,,,,,64485,39945,,104430,,,,,,,,,,,,,,,,,240701,,,240701,21481,21242,,42723,,,,,307024,,,307024,,,,,,,,,,,,,,,,,,,,,,,,,32256,22146,,54402,,46462,,46462,,,,,,,,,,22095,,22095,,,,,,,,,,,,,10749,11158,,21907,,,,,,,,,,,,,,68916,,68916,,,,,,,,,,,,,,,,,817878,313721,,533615,1665214
2005,239716,00389200,Saint Norbert College,WI,NCAA Division III (with football),,1,NCAA,829,1093,1922,,,,,,,,,47953,,,47953,87774,96861,,184635,,,,,,,,,79017,60727,,139744,,,,,,,,,,,,,,,,,270928,,,270928,24496,19702,,44198,,,,,338870,,,338870,,,,,,,,,,,,,,,,,,,,,,,,,25760,17755,,43515,,52417,,52417,,,,,,,,,,24245,,24245,,,,,,,,,,,,,20398,13448,,33846,,,,,,,,,,,,,,74316,,74316,,,,,,,,,,,,,,,,,895196,359471,,544732,1799399
2006,239716,00389200,Saint Norbert College,WI,NCAA Division III (with football),,1,NCAA,881,1134,2015,,,,,,,,,57627,,,57627,115463,98701,,214164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312498,,,312498,28552,24298,,52850,,,,,311061,,,311061,,,,,,,,,,,,,,,,,,,,,,,,,31879,25643,,57522,,50193,,50193,,,,,,,,,,25824,,25824,,,,,,,,,,,,,28684,22362,,51046,,,,,,,,,83863,62913,,146776,,57660,,57660,,,,,,,,,,,,,,,,,969627,367594,,794680,2131901
2007,239716,00389200,Saint Norbert College,WI,NCAA Division III (with football),,1,NCAA,896,1189,2085,,,,,,,,,63632,,,63632,128437,130376,,258813,,,,,,,,,73132,73445,,146577,,,,,,,,,,,,,,,,,338846,,,338846,36089,29295,,65384,,,,,366802,,,366802,,,,,,,,,,,,,,,,,,,,,,,,,35563,23490,,59053,,70636,,70636,,,,,,,,,,22979,,22979,,,,,,,,,,,,,26675,17235,,43910,,,,,,,,,,,,,,64200,,64200,,,,,,,,,,,,,,,,,1069176,431656,,591059,2091891
2008,239716,00389200,Saint Norbert College,WI,NCAA Division III (with football),,1,NCAA,888,1131,2019,,,,,,,,,77966,,,77966,190004,126405,,316409,,,,,,,,,113402,63535,,176937,,,,,,,,,,,,,,,,,337761,,,337761,33091,30151,,63242,,,,,330970,,,330970,,,,,,,,,,,,,,,,,,,,,,,,,43499,33914,,77413,,57003,,57003,,,,,,,,,,32729,,32729,,,,,,,,,,,,,28114,17988,,46102,,,,,,,,,,,,,,39104,,39104,,,,,,,,,,,,,,,,,1154807,400829,,688359,2243995
2009,239716,00389200,Saint Norbert College,WI,NCAA Division III (with football),,1,NCAA,866,1162,2028,,,,,,,,,75765,,,75765,124105,114894,,238999,,,,,,,,,109138,89930,,199068,,,,,,,,,,,,,,,,,398471,,,398471,32531,33868,,66399,,,,,372425,,,372425,,,,,,,,,,,,,,,,,,,,,,,,,39981,36225,,76206,,64783,,64783,,,,,,,,,,,,,,,,,,,,,,,,,30827,23432,,54259,,,,,,,,,,,,,,38462,,38462,,,,,,,,,,,,,,,,,1183243,401594,,728384,2313221
2010,239716,00389200,Saint Norbert College,WI,NCAA Division III (with football),,1,NCAA,873,1222,2095,,,,,,,,,75869,,,75869,183020,161875,,344895,,,,,,,,,121401,105717,,227118,,,,,,,,,,,,,,,,,390337,,,390337,16158,11664,,27822,,,,,392991,234729,,627720,,,,,,,,,,,,,,,,,,,,,,,,,45756,29183,,74939,,57706,,57706,,,,,,,,,,,,,,,,,,,,,,,,,19348,22223,,41571,,,,,,,,,,,,,,37007,,37007,,,,,,,,,,,,,,,,,1244880,660104,,659731,2564715
2011,239716,00389200,Saint Norbert College,WI,NCAA Division III (with football),,1,NCAA,879,1217,2096,,,,,,,,,98812,,,98812,248025,133707,,381732,,,,,,,,,124523,128735,,253258,,,,,,,,,,,,,,,,,414616,,,414616,20377,14187,,34564,,,,,482362,198643,,681005,,,,,,,,,,,,,,,,,,,,,,,,,37040,31341,,68381,,66463,,66463,,,,,,,,,,,,,,,,,,,,,,,,,28172,24457,,52629,,,,,,,,,,,,,,39748,,39748,,,,,,,,,,,,,,,,,1453927,637281,,747439,2838647
2012,239716,00389200,Saint Norbert College,WI,NCAA Division III (with football),,1,NCAA,899,1264,2163,,,,,,,,,100973,,,100973,207535,141837,,349372,,,,,,,,,128414,124965,,253379,,,,,,,,,,,,,,,,,409850,,,409850,25409,16235,,41644,,,,,410536,221848,,632384,,,,,,,,,,,,,,,,,,,,,,,,,40264,39613,,79877,,69012,,69012,,,,,,,,,,,,,,,,,,,,,,,,,26657,33517,,60174,,,,,,,,,,,,,,45446,,45446,,,,,,,,,,,,,,,,,1349638,692473,,1145227,3187338
