Name,GP,MIN,MIN/G
"#10 Phillips, Adam",24,372,15.5
"#15 Mazlish, Dean",24,368,15.3
"#24 Gestring, Dillon",24,357,14.9
"#05 Vest, Brady",24,355,14.8
"#13 Gilbert, Aiden",21,322,15.3
"#44 Johnson, Tolu",24,306,12.8
"#02 Leone, Jackson",23,304,13.2
"#04 Rosen, Zach",23,293,12.7
"#03 McLean, Tate",24,272,11.3
"#22 Bluder, David",24,266,11.1
"#21 Thurmgreene, Moze",24,245,10.2
"#12 Priest, Mitch",23,240,10.4
"#11 Murphy, Sean",20,202,10.1
"#25 Walser, Sean",20,185,9.3
"#45 Courtney, Nick",18,180,10.0
"#23 Wright, Andre",24,179,7.5
"#35 Ryan, Jordon",22,121,5.5
"#33 Ruhanen, Jack",22,117,5.3
"#54 Vincent, John",16,99,6.2
"#42 DeGeorge, Max",13,34,2.6
"#13 Stein, Alex",2,8,4.0
