Name,GP,BLK,BLK/G
"#24 Gestring, Dillon",24,17,0.7
"#44 Johnson, Tolu",24,14,0.6
"#33 Ruhanen, Jack",22,6,0.3
"#35 Ryan, Jordon",22,4,0.2
"#54 Vincent, John",16,4,0.3
"#25 Walser, Sean",20,4,0.2
"#02 Leone, Jackson",23,2,0.1
"#03 McLean, Tate",24,2,0.1
"#21 Thurmgreene, Moze",24,2,0.1
"#05 Vest, Brady",24,2,0.1
"#22 Bluder, David",24,1,0.0
"#45 Courtney, Nick",18,1,0.1
"#15 Mazlish, Dean",24,1,0.0
"#04 Rosen, Zach",23,1,0.0
