Name,GP,PF,PF/G
"#24 Gestring, Dillon",24,66,2.8
"#05 Vest, Brady",24,59,2.5
"#15 Mazlish, Dean",24,56,2.3
"#04 Rosen, Zach",23,51,2.2
"#44 Johnson, Tolu",24,46,1.9
"#45 Courtney, Nick",18,41,2.3
"#25 Walser, Sean",20,36,1.8
"#13 Gilbert, Aiden",21,35,1.7
"#23 Wright, Andre",24,29,1.2
"#03 McLean, Tate",24,21,0.9
"#33 Ruhanen, Jack",22,21,1.0
"#02 Leone, Jackson",23,19,0.8
"#10 Phillips, Adam",24,19,0.8
"#22 Bluder, David",24,17,0.7
"#54 Vincent, John",16,17,1.1
"#12 Priest, Mitch",23,15,0.7
"#21 Thurmgreene, Moze",24,15,0.6
"#35 Ryan, Jordon",22,12,0.5
"#11 Murphy, Sean",20,11,0.6
"#42 DeGeorge, Max",13,4,0.3
"#13 Stein, Alex",2,2,1.0
