Name,GP,AST,AST/G
"#15 Mazlish, Dean",24,70,2.9
"#04 Rosen, Zach",23,61,2.7
"#13 Gilbert, Aiden",21,58,2.8
"#12 Priest, Mitch",23,35,1.5
"#05 Vest, Brady",24,33,1.4
"#24 Gestring, Dillon",24,27,1.1
"#03 McLean, Tate",24,22,0.9
"#02 Leone, Jackson",23,19,0.8
"#25 Walser, Sean",20,17,0.9
"#44 Johnson, Tolu",24,14,0.6
"#22 Bluder, David",24,10,0.4
"#11 Murphy, Sean",20,10,0.5
"#10 Phillips, Adam",24,10,0.4
"#21 Thurmgreene, Moze",24,8,0.3
"#23 Wright, Andre",24,7,0.3
"#45 Courtney, Nick",18,5,0.3
"#33 Ruhanen, Jack",22,4,0.2
"#13 Stein, Alex",2,3,1.5
"#54 Vincent, John",16,2,0.1
"#35 Ryan, Jordon",22,1,0.0
