Name,GP,3PM,3PA,3P%,3PM/G,3PA/G
"#10 Phillips, Adam",24,93,242,0.384,3.9,10.1
"#21 Thurmgreene, Moze",24,40,95,0.421,1.7,4.0
"#12 Priest, Mitch",23,35,89,0.393,1.5,3.9
"#22 Bluder, David",24,32,116,0.276,1.3,4.8
"#15 Mazlish, Dean",24,32,90,0.356,1.3,3.8
"#04 Rosen, Zach",23,29,74,0.392,1.3,3.2
"#24 Gestring, Dillon",24,26,73,0.356,1.1,3.0
"#02 Leone, Jackson",23,24,91,0.264,1.0,4.0
"#13 Gilbert, Aiden",21,22,85,0.259,1.0,4.0
"#11 Murphy, Sean",20,20,70,0.286,1.0,3.5
"#03 McLean, Tate",24,16,45,0.356,0.7,1.9
"#05 Vest, Brady",24,16,57,0.281,0.7,2.4
"#25 Walser, Sean",20,8,33,0.242,0.4,1.7
"#35 Ryan, Jordon",22,4,11,0.364,0.2,0.5
"#23 Wright, Andre",24,3,21,0.143,0.1,0.9
"#33 Ruhanen, Jack",22,2,18,0.111,0.1,0.8
"#45 Courtney, Nick",18,1,9,0.111,0.1,0.5
"#42 DeGeorge, Max",13,1,9,0.111,0.1,0.7
"#13 Stein, Alex",2,0,1,0.0,0.0,0.5
