Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Luther,11/08/22,76-95,-19,26-78/37-70,.333/.529,13-36/4-15,.361/.267,11-20/17-27,.550-.630,34/58 -24,14/25,15/24,3/8,8/4,28/19
Barclay,11/10/22,155-81,74,56-110/25-74,.509/.338,25-65/9-25,.385/.360,18-28/22-31,.643-.710,82/33 49,33/19,19/27,6/1,18/8,27/20
North Park,11/12/22,95-126,-31,30-75/47-88,.400/.534,11-38/10-22,.289/.455,24-32/22-37,.750-.595,38/62 -24,12/32,23/20,5/1,9/18,28/22
Wartburg,11/15/22,89-112,-23,33-89/37-58,.371/.638,15-50/3-5,.300/.600,8-19/35-46,.421-.761,37/51 -14,17/26,19/27,3/4,19/9,33/22
Lake Forest,11/19/22,90-82,8,33-71/33-70,.465/.471,11-36/4-28,.306/.143,13-22/12-19,.591-.632,29/47 -18,12/23,10/25,2/1,11/3,20/18
Kenyon,11/21/22,95-101,-6,30-81/38-71,.370/.535,10-40/9-21,.250/.429,25-35/16-25,.714-.640,34/58 -24,13/27,18/35,2/3,18/9,28/30
Knox,11/29/22,107-75,32,35-75/29-63,.467/.460,16-38/4-10,.421/.400,21-37/13-22,.568-.591,40/47 -7,18/15,16/30,3/3,18/10,19/25
Lawrence,12/03/22,82-87,-5,32-85/28-54,.376/.519,9-40/3-10,.225/.300,9-11/28-35,.818-.800,40/43 -3,10/20,9/17,5/4,10/3,28/14
Cornell College,12/07/22,78-100,-22,28-80/37-63,.350/.587,12-45/9-20,.267/.450,10-22/17-25,.455-.680,37/53 -16,12/31,10/20,2/5,12/6,24/17
Emmaus,12/08/22,124-67,57,40-111/29-62,.360/.468,40-111/2-12,.360/.167,4-6/7-10,.667-.700,65/43 22,33/15,11/32,2/1,20/4,18/14
Westminster (MO),12/10/22,124-72,52,43-102/27-68,.422/.397,23-69/3-19,.333/.158,15-17/15-23,.882-.652,60/45 15,22/19,15/31,3/2,19/11,18/14
Principia,12/31/22,103-95,8,34-86/41-75,.395/.547,17-51/7-23,.333/.304,18-28/6-7,.643-.857,39/53 -14,17/30,13/30,2/1,17/5,15/24
Ripon,01/03/23,84-95,-11,30-72/30-61,.417/.492,15-41/13-24,.366/.542,9-11/22-31,.818-.710,36/44 -8,13/18,18/17,3/4,11/5,28/17
Lawrence,01/07/23,83-93,-10,29-80/33-68,.363/.485,9-39/2-10,.231/.200,16-23/25-36,.696-.694,40/59 -19,6/18,14/25,4/5,11/6,25/18
Monmouth (IL),01/11/23,74-85,-11,25-75/31-63,.333/.492,10-43/6-18,.233/.333,14-20/17-26,.700-.654,43/50 -7,12/23,19/23,3/2,16/8,25/17
Beloit,01/17/23,105-111,-6,37-92/37-66,.402/.561,16-55/3-11,.291/.273,15-22/34-46,.682-.739,46/49 -3,18/20,20/28,0/3,12/10,35/24
Ripon,01/21/23,82-98,-16,30-74/32-65,.405/.492,16-51/6-21,.314/.286,6-14/28-37,.429-.757,29/50 -21,12/15,17/20,2/1,14/7,28/12
Knox,01/25/23,95-101,-6,33-85/37-67,.388/.552,20-51/6-20,.392/.300,9-14/21-33,.643-.636,39/54 -15,19/24,12/17,2/0,11/9,25/17
Illinois Col.,01/28/23,97-110,-13,35-88/40-68,.398/.588,16-55/13-25,.291/.520,11-15/17-28,.733-.607,30/58 -28,18/31,7/21,1/4,13/5,21/15
Cornell College,01/31/23,94-104,-10,37-94/37-50,.394/.740,14-48/7-12,.292/.583,6-9/23-31,.667-.742,34/44 -10,22/34,9/25,2/8,19/4,26/14
Monmouth (IL),02/04/23,119-109,10,41-72/42-63,.569/.667,24-43/6-17,.558/.353,13-25/19-27,.520-.704,26/38 -12,20/32,16/24,2/3,10/5,22/21
Illinois Col.,02/08/23,81-104,-23,28-77/45-64,.364/.703,16-51/7-15,.314/.467,9-10/7-12,.900-.583,25/45 -20,20/36,13/22,1/7,16/9,17/12
Beloit,02/14/23,100-85,15,28-83/29-61,.337/.475,18-64/5-14,.281/.357,26-30/22-39,.867-.564,44/57 -13,20/20,18/35,1/3,17/10,34/24
Lake Forest,02/18/23,120-121,-1,42-94/48-77,.447/.623,28-69/5-14,.406/.357,8-15/20-24,.533-.833,34/54 -20,23/15,16/27,2/2,12/11,20/19
