Name,GP,STL,STL/G
"#15 Mazlish, Dean",24,54,2.3
"#04 Rosen, Zach",23,33,1.4
"#24 Gestring, Dillon",24,26,1.1
"#02 Leone, Jackson",23,24,1.0
"#45 Courtney, Nick",18,23,1.3
"#13 Gilbert, Aiden",21,23,1.1
"#44 Johnson, Tolu",24,22,0.9
"#05 Vest, Brady",24,18,0.8
"#12 Priest, Mitch",23,16,0.7
"#25 Walser, Sean",20,16,0.8
"#03 McLean, Tate",24,14,0.6
"#23 Wright, Andre",24,13,0.5
"#21 Thurmgreene, Moze",24,12,0.5
"#11 Murphy, Sean",20,11,0.6
"#10 Phillips, Adam",24,10,0.4
"#35 Ryan, Jordon",22,10,0.5
"#22 Bluder, David",24,7,0.3
"#42 DeGeorge, Max",13,5,0.4
"#33 Ruhanen, Jack",22,2,0.1
"#54 Vincent, John",16,2,0.1
