Name,GP,AST,TO,AST/TO Ratio
"#04 Rosen, Zach",23,61,27,2.26
"#21 Thurmgreene, Moze",24,8,3,2.67
"#24 Gestring, Dillon",24,27,22,1.23
"#44 Johnson, Tolu",24,14,11,1.27
"#02 Leone, Jackson",23,19,15,1.27
"#15 Mazlish, Dean",24,70,39,1.79
"#03 McLean, Tate",24,22,17,1.29
"#11 Murphy, Sean",20,10,9,1.11
"#12 Priest, Mitch",23,35,27,1.3
"#35 Ryan, Jordon",22,1,1,1.0
"#05 Vest, Brady",24,33,18,1.83
