#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,AST/G,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,AST/G,TO,STL,BLK,Bio Link
13,"Gilbert, Aiden 13 Gilbert, Aiden",16,8.0,244,15.3,99,231,0.429,11,56,0.196,54,76,0.711,263,16.4,11,15,26,1.6,28,38,2.4,42,16,0,View Bio
15,"Mazlish, Dean 15 Mazlish, Dean",16,6.0,262,16.4,50,119,0.42,25,70,0.357,36,51,0.706,161,10.1,15,18,33,2.1,35,51,3.2,22,34,1,View Bio
10,"Phillips, Adam 10 Phillips, Adam",16,8.0,244,15.3,48,133,0.361,44,119,0.37,8,11,0.727,148,9.3,10,0,10,0.6,10,5,0.3,7,6,0,View Bio
24,"Gestring, Dillon 24 Gestring, Dillon",16,4.0,235,14.7,54,114,0.474,16,46,0.348,29,50,0.58,153,9.6,14,35,49,3.1,45,20,1.3,16,17,6,View Bio
12,"Priest, Mitch 12 Priest, Mitch",16,4.0,189,11.8,44,106,0.415,30,76,0.395,12,14,0.857,130,8.1,10,10,20,1.3,12,26,1.6,21,13,0,View Bio
04,"Rosen, Zach 04 Rosen, Zach",15,6.0,193,12.9,30,67,0.448,24,50,0.48,8,16,0.5,92,6.1,10,25,35,2.3,33,28,1.9,15,22,1,View Bio
22,"Bluder, David 22 Bluder, David",16,2.0,176,11.0,38,101,0.376,16,60,0.267,14,19,0.737,106,6.6,5,13,18,1.1,14,9,0.6,11,5,1,View Bio
03,"McLean, Tate 03 McLean, Tate",16,8.0,187,11.7,28,64,0.438,10,32,0.313,0,2,0.0,66,4.1,14,13,27,1.7,12,13,0.8,13,9,2,View Bio
05,"Vest, Brady 05 Vest, Brady",16,8.0,243,15.2,22,58,0.379,12,42,0.286,14,18,0.778,70,4.4,23,32,55,3.4,34,20,1.3,11,12,1,View Bio
21,"Thurmgreene, Moze 21 Thurmgreene, Moze",16,3.0,174,10.9,24,63,0.381,22,57,0.386,2,4,0.5,72,4.5,8,5,13,0.8,15,5,0.3,2,8,2,View Bio
11,"Murphy, Sean 11 Murphy, Sean",12,3.0,114,9.5,13,36,0.361,13,36,0.361,0,0,0.0,39,3.3,3,7,10,0.8,8,4,0.3,5,7,0,View Bio
25,"Walser, Sean 25 Walser, Sean",14,0.0,135,9.6,21,52,0.404,8,28,0.286,1,4,0.25,51,3.6,5,16,21,1.5,26,7,0.5,11,10,2,View Bio
02,"Leone, Jackson 02 Leone, Jackson",15,3.0,203,13.5,14,60,0.233,9,49,0.184,6,11,0.545,43,2.9,9,17,26,1.7,14,14,0.9,6,18,2,View Bio
44,"Johnson, Tolu 44 Johnson, Tolu",16,9.0,193,12.1,12,16,0.75,0,0,0.0,4,9,0.444,28,1.8,29,41,70,4.4,32,5,0.3,9,12,8,View Bio
23,"Wright, Andre 23 Wright, Andre",16,4.0,105,6.6,5,20,0.25,3,18,0.167,3,5,0.6,16,1.0,9,8,17,1.1,17,5,0.3,4,8,0,View Bio
35,"Ryan, Jordon 35 Ryan, Jordon",14,1.0,89,6.4,8,17,0.471,4,9,0.444,4,8,0.5,24,1.7,14,16,30,2.1,10,1,0.1,1,2,3,View Bio
54,"Vincent, John 54 Vincent, John",8,1.0,49,6.1,4,6,0.667,0,0,0.0,0,1,0.0,8,1.0,3,12,15,1.9,11,0,0.0,2,0,2,View Bio
45,"Courtney, Nick 45 Courtney, Nick",10,2.0,93,9.3,4,15,0.267,1,7,0.143,0,1,0.0,9,0.9,6,6,12,1.2,24,2,0.2,9,9,1,View Bio
42,"DeGeorge, Max 42 DeGeorge, Max",9,0.0,26,2.9,1,3,0.333,1,3,0.333,0,0,0.0,3,0.3,2,5,7,0.8,3,0,0.0,0,3,0,View Bio
33,"Ruhanen, Jack 33 Ruhanen, Jack",14,0.0,71,5.1,4,16,0.25,1,11,0.091,0,0,0.0,9,0.6,6,5,11,0.8,14,2,0.1,4,2,3,View Bio
TM,Team  TM Team,16,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,43,24,67,4.2,0,0,0.0,13,0,0,
,Total,16,,3225,201.6,523,1297,0.403,250,769,0.325,195,300,0.65,1491,93.19,249,323,572,35.8,397,255,15.9,224,213,35,
,Opponents,16,,3225,201.6,568,1023,0.555,99,269,0.368,325,471,0.69,1560,97.5,218,574,792,49.5,284,375,23.4,376,111,55,
