Name,GP,REB,AVG/G,OFF,OFF/G,DEF,DEF/G
"#44 Johnson, Tolu",24,117,4.9,53,2.2,64,2.7
#TM Team,24,104,4.3,58,2.4,46,1.9
"#05 Vest, Brady",24,88,3.7,39,1.6,49,2.0
"#24 Gestring, Dillon",24,86,3.6,27,1.1,59,2.5
"#04 Rosen, Zach",23,61,2.7,22,1.0,39,1.7
"#15 Mazlish, Dean",24,52,2.2,23,1.0,29,1.2
"#03 McLean, Tate",24,52,2.2,28,1.2,24,1.0
"#02 Leone, Jackson",23,41,1.8,19,0.8,22,1.0
"#13 Gilbert, Aiden",21,40,1.9,22,1.0,18,0.9
"#35 Ryan, Jordon",22,40,1.8,17,0.8,23,1.0
"#25 Walser, Sean",20,36,1.8,13,0.7,23,1.2
"#23 Wright, Andre",24,32,1.3,14,0.6,18,0.8
"#45 Courtney, Nick",18,31,1.7,13,0.7,18,1.0
"#33 Ruhanen, Jack",22,31,1.4,13,0.6,18,0.8
"#54 Vincent, John",16,31,1.9,9,0.6,22,1.4
"#22 Bluder, David",24,29,1.2,15,0.6,14,0.6
"#12 Priest, Mitch",23,27,1.2,13,0.6,14,0.6
"#11 Murphy, Sean",20,20,1.0,9,0.5,11,0.6
"#21 Thurmgreene, Moze",24,18,0.8,9,0.4,9,0.4
"#10 Phillips, Adam",24,16,0.7,15,0.6,1,0.0
"#42 DeGeorge, Max",13,9,0.7,3,0.2,6,0.5
