Name,GP,TO,TO/G
"#13 Gilbert, Aiden",21,61,2.9
"#15 Mazlish, Dean",24,39,1.6
"#12 Priest, Mitch",23,27,1.2
"#04 Rosen, Zach",23,27,1.2
"#24 Gestring, Dillon",24,22,0.9
#TM Team,24,22,0.9
"#25 Walser, Sean",20,22,1.1
"#05 Vest, Brady",24,18,0.8
"#03 McLean, Tate",24,17,0.7
"#45 Courtney, Nick",18,15,0.8
"#02 Leone, Jackson",23,15,0.7
"#22 Bluder, David",24,14,0.6
"#10 Phillips, Adam",24,14,0.6
"#44 Johnson, Tolu",24,11,0.5
"#11 Murphy, Sean",20,9,0.5
"#23 Wright, Andre",24,8,0.3
"#33 Ruhanen, Jack",22,7,0.3
"#54 Vincent, John",16,5,0.3
"#21 Thurmgreene, Moze",24,3,0.1
"#35 Ryan, Jordon",22,1,0.0
