#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
13.0,"Gilbert, Aiden 13 Gilbert, Aiden",21,15.3,0.439,0.259,0.725,1.0,0.9,1.9,2.8,1.1,0.0,17.9
10.0,"Phillips, Adam 10 Phillips, Adam",24,15.5,0.378,0.384,0.815,0.6,0.0,0.7,0.4,0.4,0.0,13.2
24.0,"Gestring, Dillon 24 Gestring, Dillon",24,14.9,0.505,0.356,0.615,1.1,2.5,3.6,1.1,1.1,0.7,11.1
15.0,"Mazlish, Dean 15 Mazlish, Dean",24,15.3,0.409,0.356,0.712,1.0,1.2,2.2,2.9,2.3,0.0,8.5
22.0,"Bluder, David 22 Bluder, David",24,11.1,0.366,0.276,0.68,0.6,0.6,1.2,0.4,0.3,0.0,7.4
4.0,"Rosen, Zach 04 Rosen, Zach",23,12.7,0.42,0.392,0.639,1.0,1.7,2.7,2.7,1.4,0.0,6.3
12.0,"Priest, Mitch 12 Priest, Mitch",23,10.4,0.398,0.393,0.857,0.6,0.6,1.2,1.5,0.7,0.0,6.5
21.0,"Thurmgreene, Moze 21 Thurmgreene, Moze",24,10.2,0.408,0.421,0.5,0.4,0.4,0.8,0.3,0.5,0.1,5.3
5.0,"Vest, Brady 05 Vest, Brady",24,14.8,0.375,0.281,0.741,1.6,2.0,3.7,1.4,0.8,0.1,4.3
2.0,"Leone, Jackson 02 Leone, Jackson",23,13.2,0.287,0.264,0.412,0.8,1.0,1.8,0.8,1.0,0.1,4.0
3.0,"McLean, Tate 03 McLean, Tate",24,11.3,0.446,0.356,0.375,1.2,1.0,2.2,0.9,0.6,0.1,4.2
11.0,"Murphy, Sean 11 Murphy, Sean",20,10.1,0.28,0.286,0.8,0.5,0.6,1.0,0.5,0.6,0.0,3.3
25.0,"Walser, Sean 25 Walser, Sean",20,9.3,0.395,0.242,0.625,0.7,1.2,1.8,0.9,0.8,0.2,3.9
44.0,"Johnson, Tolu 44 Johnson, Tolu",24,12.8,0.621,0.0,0.333,2.2,2.7,4.9,0.6,0.9,0.6,1.8
45.0,"Courtney, Nick 45 Courtney, Nick",18,10.0,0.292,0.111,0.75,0.7,1.0,1.7,0.3,1.3,0.1,1.2
35.0,"Ryan, Jordon 35 Ryan, Jordon",22,5.5,0.522,0.364,0.6,0.8,1.0,1.8,0.0,0.5,0.2,1.5
23.0,"Wright, Andre 23 Wright, Andre",24,7.5,0.2,0.143,0.556,0.6,0.8,1.3,0.3,0.5,0.0,0.8
54.0,"Vincent, John 54 Vincent, John",16,6.2,0.667,0.0,0.0,0.6,1.4,1.9,0.1,0.1,0.3,0.8
42.0,"DeGeorge, Max 42 DeGeorge, Max",13,2.6,0.111,0.111,0.0,0.2,0.5,0.7,0.0,0.4,0.0,0.2
33.0,"Ruhanen, Jack 33 Ruhanen, Jack",22,5.3,0.321,0.111,0.0,0.6,0.8,1.4,0.2,0.1,0.3,0.9
13.0,"Stein, Alex 13 Stein, Alex",2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0
,Total,24,201.0,0.402,0.329,0.656,18.1,22.0,40.0,17.3,14.2,2.5,98.0
,Opponents,24,201.0,0.534,0.355,0.687,13.9,35.9,49.8,23.7,7.5,3.2,96.21
