#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
13.0,"Gilbert, Aiden 13 Gilbert, Aiden",21,9.0,322,137,312,0.439,22,85,0.259,79,109,0.725,375,17.9
10.0,"Phillips, Adam 10 Phillips, Adam",24,13.0,372,101,267,0.378,93,242,0.384,22,27,0.815,317,13.2
24.0,"Gestring, Dillon 24 Gestring, Dillon",24,7.0,357,96,190,0.505,26,73,0.356,48,78,0.615,266,11.1
15.0,"Mazlish, Dean 15 Mazlish, Dean",24,9.0,368,63,154,0.409,32,90,0.356,47,66,0.712,205,8.5
22.0,"Bluder, David 22 Bluder, David",24,3.0,266,64,175,0.366,32,116,0.276,17,25,0.68,177,7.4
4.0,"Rosen, Zach 04 Rosen, Zach",23,10.0,293,47,112,0.42,29,74,0.392,23,36,0.639,146,6.3
12.0,"Priest, Mitch 12 Priest, Mitch",23,6.0,240,51,128,0.398,35,89,0.393,12,14,0.857,149,6.5
21.0,"Thurmgreene, Moze 21 Thurmgreene, Moze",24,4.0,245,42,103,0.408,40,95,0.421,3,6,0.5,127,5.3
5.0,"Vest, Brady 05 Vest, Brady",24,14.0,355,33,88,0.375,16,57,0.281,20,27,0.741,102,4.3
2.0,"Leone, Jackson 02 Leone, Jackson",23,8.0,304,31,108,0.287,24,91,0.264,7,17,0.412,93,4.0
3.0,"McLean, Tate 03 McLean, Tate",24,8.0,272,41,92,0.446,16,45,0.356,3,8,0.375,101,4.2
11.0,"Murphy, Sean 11 Murphy, Sean",20,4.0,202,21,75,0.28,20,70,0.286,4,5,0.8,66,3.3
25.0,"Walser, Sean 25 Walser, Sean",20,0.0,185,30,76,0.395,8,33,0.242,10,16,0.625,78,3.9
44.0,"Johnson, Tolu 44 Johnson, Tolu",24,12.0,306,18,29,0.621,0,0,0.0,6,18,0.333,42,1.8
45.0,"Courtney, Nick 45 Courtney, Nick",18,2.0,180,7,24,0.292,1,9,0.111,6,8,0.75,21,1.2
35.0,"Ryan, Jordon 35 Ryan, Jordon",22,2.0,121,12,23,0.522,4,11,0.364,6,10,0.6,34,1.5
23.0,"Wright, Andre 23 Wright, Andre",24,6.0,179,5,25,0.2,3,21,0.143,5,9,0.556,18,0.8
54.0,"Vincent, John 54 Vincent, John",16,3.0,99,6,9,0.667,0,0,0.0,0,6,0.0,12,0.8
42.0,"DeGeorge, Max 42 DeGeorge, Max",13,0.0,34,1,9,0.111,1,9,0.111,0,0,0.0,3,0.2
33.0,"Ruhanen, Jack 33 Ruhanen, Jack",22,0.0,117,9,28,0.321,2,18,0.111,0,0,0.0,20,0.9
13.0,"Stein, Alex 13 Stein, Alex",2,0.0,8,0,2,0.0,0,1,0.0,0,0,0.0,0,0.0
,Total,24,,4825,815,2029,0.402,404,1229,0.329,318,485,0.656,2352,98.0
,Opponents,24,,4825,849,1589,0.534,146,411,0.355,465,677,0.687,2309,96.21
