Statistic,High,Player,Opponent
POINTS,37,"Gilbert,Aiden",Lawrence (01/07/23)
FIELD GOALS MADE,13,"Gilbert,Aiden",Lawrence (01/07/23)
FIELD GOAL ATTEMPTS,26,"Gilbert,Aiden",Lawrence (01/07/23)
3 PT FIELD GOALS MADE,12,"Phillips,Adam",Emmaus (12/08/22)
3 PT FG ATTEMPTS,24,"Phillips,Adam",Emmaus (12/08/22)
FREE THROWS MADE,10,"Gilbert,Aiden",Principia (12/31/22)
FREE THROW ATTEMPTS,15,"Gilbert,Aiden",Principia (12/31/22)
REBOUNDS,10,"Johnson,Tolu; Ryan,Jordon",Westminster (MO) (12/10/22); Monmouth (IL) (01/11/23)
ASSISTS,10,"Rosen,Zach",Emmaus (12/08/22)
STEALS,6,"Mazlish,Dean",Kenyon (11/21/22)
BLOCKED SHOTS,4,"Gestring,Dillon",Barclay (11/10/22)
TURNOVERS,7,"Gilbert,Aiden",Beloit (01/17/23)
FOULS,5,"Vest,Brady; Gestring,Dillon; John Vincent",North Park (11/12/22); Lawrence (01/07/23); Lawrence (12/03/22); Cornell College (12/07/22); Beloit (01/17/23)
