Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1
at Luther,11/08/22,76-95,L,26-78,0.333,13-36,0.361,11-20,0.55,15,19,34,34.0,28,14,15,3,8,76,76.0
vs Barclay,11/10/22,155-81,W,56-110,0.509,25-65,0.385,18-28,0.643,37,45,82,58.0,27,33,19,6,18,155,115.5
vs North Park,11/12/22,95-126,L,30-75,0.4,11-38,0.289,24-32,0.75,16,22,38,51.3,28,12,23,5,9,95,108.7
vs Wartburg,11/15/22,89-112,L,33-89,0.371,15-50,0.3,8-19,0.421,23,14,37,47.8,33,17,19,3,19,89,103.8
at Lake Forest,11/19/22,90-82,W,33-71,0.465,11-36,0.306,13-22,0.591,8,21,29,44.0,20,12,10,2,11,90,101.0
vs Kenyon,11/21/22,95-101,L,30-81,0.37,10-40,0.25,25-35,0.714,15,19,34,42.3,28,13,18,2,18,95,100.0
vs Knox,11/29/22,107-75,W,35-75,0.467,16-38,0.421,21-37,0.568,17,23,40,42.0,19,18,16,3,18,107,101.0
at Lawrence,12/03/22,82-87,L,32-85,0.376,9-40,0.225,9-11,0.818,18,22,40,41.8,28,10,9,5,10,82,98.6
at Cornell College,12/07/22,78-100,L,28-80,0.35,12-45,0.267,10-22,0.455,19,18,37,41.2,24,12,10,2,12,78,96.3
vs Emmaus,12/08/22,124-67,W,40-111,0.36,40-111,0.36,4-6,0.667,36,29,65,43.6,18,33,11,2,20,124,99.1
vs Westminster (MO),12/10/22,124-72,W,43-102,0.422,23-69,0.333,15-17,0.882,25,35,60,45.1,18,22,15,3,19,124,101.4
vs Principia,12/31/22,103-95,W,34-86,0.395,17-51,0.333,18-28,0.643,18,21,39,44.6,15,17,13,2,17,103,101.5
vs Ripon,01/03/23,84-95,L,30-72,0.417,15-41,0.366,9-11,0.818,15,21,36,43.9,28,13,18,3,11,84,100.2
vs Lawrence,01/07/23,83-93,L,29-80,0.363,9-39,0.231,16-23,0.696,13,27,40,43.6,25,6,14,4,11,83,98.9
vs Monmouth (IL),01/11/23,74-85,L,25-75,0.333,10-43,0.233,14-20,0.7,20,23,43,43.6,25,12,19,3,16,74,97.3
at Beloit,01/17/23,105-111,L,37-92,0.402,16-55,0.291,15-22,0.682,26,20,46,43.8,35,18,20,0,12,105,97.8
at Ripon,01/21/23,82-98,L,30-74,0.405,16-51,0.314,6-14,0.429,11,18,29,42.9,28,12,17,2,14,82,96.8
at Knox,01/25/23,95-101,L,33-85,0.388,20-51,0.392,9-14,0.643,16,23,39,42.7,25,19,12,2,11,95,96.7
vs Illinois Col.,01/28/23,97-110,L,35-88,0.398,16-55,0.291,11-15,0.733,13,17,30,42.0,21,18,7,1,13,97,96.7
vs Cornell College,01/31/23,94-104,L,37-94,0.394,14-48,0.292,6-9,0.667,17,17,34,41.6,26,22,9,2,19,94,96.6
at Monmouth (IL),02/04/23,119-109,W,41-72,0.569,24-43,0.558,13-25,0.52,7,19,26,40.9,22,20,16,2,10,119,97.7
at Illinois Col.,02/08/23,81-104,L,28-77,0.364,16-51,0.314,9-10,0.9,12,13,25,40.1,17,20,13,1,16,81,96.9
vs Beloit,02/14/23,100-85,W,28-83,0.337,18-64,0.281,26-30,0.867,19,25,44,40.3,34,20,18,1,17,100,97.0
vs Lake Forest,02/18/23,120-121,L (OT),42-94,0.447,28-69,0.406,8-15,0.533,18,16,34,40.0,20,23,16,2,12,120,98.0
Grinnell,,-,,815-2029,0.402,404-1229,0.329,318-485,0.656,434,527,961,40.0,592,416,357,61,341,2352,98.0
Opponents,,-,,849-1589,0.534,146-411,0.355,465-677,0.687,334,861,1195,49.8,449,568,602,76,179,2309,96.2
