Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#13 Gilbert, Aiden",21,79,109,0.725,3.8,5.2
"#24 Gestring, Dillon",24,48,78,0.615,2.0,3.3
"#15 Mazlish, Dean",24,47,66,0.712,2.0,2.8
"#04 Rosen, Zach",23,23,36,0.639,1.0,1.6
"#10 Phillips, Adam",24,22,27,0.815,0.9,1.1
"#05 Vest, Brady",24,20,27,0.741,0.8,1.1
"#22 Bluder, David",24,17,25,0.68,0.7,1.0
"#12 Priest, Mitch",23,12,14,0.857,0.5,0.6
"#25 Walser, Sean",20,10,16,0.625,0.5,0.8
"#02 Leone, Jackson",23,7,17,0.412,0.3,0.7
"#45 Courtney, Nick",18,6,8,0.75,0.3,0.4
"#44 Johnson, Tolu",24,6,18,0.333,0.3,0.8
"#35 Ryan, Jordon",22,6,10,0.6,0.3,0.5
"#23 Wright, Andre",24,5,9,0.556,0.2,0.4
"#11 Murphy, Sean",20,4,5,0.8,0.2,0.3
"#03 McLean, Tate",24,3,8,0.375,0.1,0.3
"#21 Thurmgreene, Moze",24,3,6,0.5,0.1,0.3
"#54 Vincent, John",16,0,6,0.0,0.0,0.4
