Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Recruiting Expenses,Women's Team Recruiting Expenses,Coed Team Recruiting Expenses
2003,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,6050,4250,
2004,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,12511,3470,
2005,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,12000,3000,
2006,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,2616,3028,
2007,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,3029,2285,
2008,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,9601,2518,
2009,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,9254,4162,
2010,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,12763,9070,
2011,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,14820,7438,
2012,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,17246,9322,
2013,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,17337,9309,
2014,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,13555,12851,
2015,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,31649,22704,
2016,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,30617,23922,
2017,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,31327,28653,
2018,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,32967,21010,
2019,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,35533,18472,
2020,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,19091,21764,
2021,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,43997,32134,
2022,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,57150,43679,
