Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Athletic Student Aid,Women's Team Athletic Student Aid,Coed Team Athletic Student Aid
2003,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,0,0,
2004,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,0,0,
2005,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,0,0,
2006,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,0,0,
2007,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,0,0,
2008,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,0,0,
2009,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,0,0,
2010,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,0,0,
2011,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,0,0,
2012,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,0,0,
2013,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,0,0,
2014,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,0,0,
2015,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,0,0,
2016,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,0,0,
2017,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,0,0,
2018,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,0,0,
2019,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,0,0,
2020,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,0,0,
2021,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,0,0,
2022,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,0,0,
