Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Revenue,Archery Women's Team Revenue,Archery Coed Team Revenue,Archery Total Revenue,Badminton Men's Team Revenue,Badminton Women's Team Revenue,Badminton Coed Team Revenue,Badminton Total Revenue,Baseball Men's Team Revenue,Baseball Women's Team Revenue,Baseball Coed Team Revenue,Baseball Total Revenue,Basketball Men's Team Revenue,Basketball Women's Team Revenue,Basketball Coed Team Revenue,Basketball Total Revenue,Beach Volleyball Men's Team Revenue,Beach Volleyball Women's Team Revenue,Beach Volleyball Coed Team Revenue Revenue,Beach Volleyball Total Revenue,Bowling Men's Team Revenue,Bowling Women's Team Revenue,Bowling Coed Team Revenue,Bowling Total Revenue,All Track Combined Men's Team Revenue,All Track Combined Women's Team Revenue,All Track Combined Coed Team Revenue,All Track Combined Total Revenue,Diving Men's Team Revenue,Diving Women's Team Revenue,Diving Coed Team Revenue,Diving Total Revenue,Equestrian Men's Team Revenue,Equestrian Women's Team Revenue,Equestrian Coed Team Revenue,Equestrian Total Revenue,Fencing Men's Team Revenue,Fencing Women's Team Revenue,Fencing Coed Team Revenue,Fencing Total Revenue,Field Hockey Men's Team Revenue,Field Hockey Women's Team Revenue,Field Hockey Coed Team Revenue,Field Hockey Total Revenue,Football Men's Team Revenue,Football Women's Team Revenue,Football Coed Team Revenue,Football Total Revenue,Golf Men's Team Revenue,Golf Women's Team Revenue,Golf Coed Team Revenue,Golf Total Revenue,Gymnastics Men's Team Revenue,Gymnastics Women's Team Revenue,Gymnastics Coed Team Revenue,Gymnastics Total Revenue,Ice Hockey Men's Team Revenue,Ice Hockey Women's Team Revenue,Ice Hockey Coed Team Revenue,Ice Hockey Total Revenue,Lacrosse Men's Team Revenue,Lacrosse Women's Team Revenue,Lacrosse Coed Team Revenue,Lacrosse Total Revenue,Rifle Men's Team Revenue,Rifle Women's Team Revenue,Rifle Coed Team Revenue,Rifle Total Revenue,Rodeo Men's Team Revenue,Rodeo Women's Team Revenue,Rodeo Coed Team Revenue,Rodeo Total Revenue,Rowing Men's Team Revenue,Rowing Women's Team Revenue,Rowing Coed Team Revenue,Rowing Total Revenue,Sailing Men's Team Revenue,Sailing Women's Team Revenue,Sailing Coed Team Revenue,Sailing Total Revenue,Skiing Men's Team Revenue,Skiing Women's Team Revenue,Skiing Coed Team Revenue,Skiing Total Revenue,Soccer Men's Team Revenue,Soccer Women's Team Revenue,Soccer Coed Team Revenue,Soccer Total Revenue,Softball Men's Team Revenue,Softball Women's Team Revenue,Softball Coed Team Revenue,Softball Total Revenue,Squash Men's Team Revenue,Squash Women's Team Revenue,Squash Coed Team Revenue,Squash Total Revenue,Swimming and Diving Men's Team Revenue,Swimming and Diving Women's Team Revenue,Swimming and Diving Coed Team Revenue,Swimming and Diving Total Revenue,Swimming Men's Team Revenue,Swimming Women's Team Revenue,Swimming Coed Team Revenue,Swimming Total Revenue,Synchronized Swimming Men's Team Revenue,Synchronized Swimming Women's Team Revenue,Synchronized Swimming Coed Team Revenue,Synchronized Swimming Total Revenue,Table Tennis Men's Team Revenue,Table Tennis Women's Team Revenue,Table Tennis Coed Team Revenue,Table Tennis Total Revenue,Team Handball Men's Team Revenue,Team Handball Women's Team Revenue,Team Handball Coed Team Revenue,Team Handball Total Revenue,Tennis Men's Team Revenue,Tennis Women's Team Revenue,Tennis Coed Team Revenue,Tennis Total Revenue,Track and Field Indoor Men's Team Revenue,Track and Field Indoor Women's Team Revenue,Track and Field Indoor Coed Team Revenue,Track and Field Indoor Total Revenue,Track and Field Outdoor Men's Team Revenue,Track and Field Outdoor Women's Team Revenue,Track and Field Outdoor Coed Team Revenue,Track and Field Outdoor Total Revenue,Track and Field X Country Men's Team Revenue,Track and Field X Country Women's Team Revenue,Track and Field X Country Coed Team Revenue,Track and Field X Country Total Revenue,Volleyball Men's Team Revenue,Volleyball Women's Team Revenue,Volleyball Coed Team Revenue,Volleyball Total Revenue,Water Polo Men's Team Revenue,Water Polo Women's Team Revenue,Water Polo Coed Team Revenue,Water Polo Total Revenue,Weight Lifting Men's Team Revenue,Weight Lifting Women's Team Revenue,Weight Lifting Coed Team Revenue,Weight Lifting Total Revenue,Wrestling Men's Team Revenue,Wrestling Women's Team Revenue,Wrestling Coed Team Revenue,Wrestling Total Revenue,Other Sports Men's Team Revenue,Other Sports Women's Team Revenue,Other Sports Coed Team Revenue,Other Sports Total Revenue,Total Men's Team Revenue,Total Women's Team Revenue,Total Coed Team Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2003,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,440,563,1003,,,,,,,,,62630,,,62630,78877,62440,,141317,,,,,,,,,30411,29813,,60224,,,,,,,,,,,,,,,,,181529,,,181529,9049,21223,,30272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16755,21534,,38289,,25947,,25947,,,,,,,,,,,,,,,,,,,,,,,,,9304,10003,,19307,,,,,,,,,,,,,,33595,,33595,,,,,,,,,42861,,,42861,,,,,431416,204555,,138000,773971
2004,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,467,555,1022,,,,,,,,,75434,,,75434,98540,71510,,170050,,,,,,,,,33349,35319,,68668,,,,,,,,,,,,,,,,,238201,,,238201,10282,29812,,40094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20516,14453,,34969,,42101,,42101,,,,,,,,,,,,,,,,,,,,,,,,,7398,9666,,17064,,,,,,,,,,,,,,37614,,37614,,,,,,,,,60355,,,60355,,,,,544075,240475,,301962,1086512
2005,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,475,535,1010,,,,,,,,,66924,,,66924,90151,70979,,161130,,,,,,,,,39033,34185,,73218,,,,,,,,,,,,,,,,,221449,,,221449,9789,31781,,41570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16356,19950,,36306,,49726,,49726,,,,,,,,,,,,,,,,,,,,,,,,,8960,8272,,17232,,,,,,,,,,,,,,39801,,39801,,,,,,,,,64885,,,64885,,,,,517547,254694,,308213,1080454
2006,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,475,534,1009,,,,,,,,,77145,,,77145,86477,66049,,152526,,,,,,,,,38970,38970,,77940,,,,,,,,,,,,,,,,,210121,,,210121,14270,32383,,46653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22338,18404,,40742,,40441,,40441,,,,,,,,,,,,,,,,,,,,,,,,,15100,9120,,24220,,,,,,,,,,,,,,38040,,38040,,,,,,,,,,,,,,,,,464421,243407,,363199,1071027
2007,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,476,508,984,,,,,,,,,82568,,,82568,90348,82906,,173254,,,,,,,,,54473,46831,,101304,,,,,,,,,,,,,,,,,225146,,,225146,13308,29952,,43260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23789,14083,,37872,,47872,,47872,,,,,,,,,,,,,,,,,,,,,,,,,5921,10029,,15950,,,,,,,,,,,,,,37877,,37877,,,,,,,,,,,,,,,,,495553,269550,,240012,1005115
2008,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,417,447,864,,,,,,,,,83183,,,83183,89537,85043,,174580,,,,,,,,,47307,47978,,95285,,,,,,,,,,,,,,,,,225021,,,225021,34409,38970,,73379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32648,33201,,65849,,40631,,40631,,,,,,,,,18968,18403,,37371,,,,,,,,,,,,,9419,10170,,19589,,,,,,,,,,,,,,39120,,39120,,,,,,,,,,,,,,,,,540492,313516,,244259,1098267
2009,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,425,434,859,,,,,,,,,100018,,,100018,98037,80759,,178796,,,,,,,,,66538,63497,,130035,,,,,,,,,,,,,,,,,264668,,,264668,37923,25799,,63722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29692,30996,,60688,,59273,,59273,,,,,,,,,22777,23115,,45892,,,,,,,,,,,,,10820,12686,,23506,,,,,,,,,,,,,,51827,,51827,,,,,,,,,,,,,,,,,630473,347952,,214046,1192471
2010,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,433,413,846,,,,,,,,,91571,,,91571,107714,82524,,190238,,,,,,,,,62320,60323,,122643,,,,,,,,,,,,,,,,,293785,,,293785,49533,36693,,86226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44268,44581,,88849,,60826,,60826,,,,,,,,,20769,26055,,46824,,,,,,,,,,,,,8281,10688,,18969,,,,,,,,,,,,,,57205,,57205,,,,,,,,,,,,,,,,,678241,378895,,540126,1597262
2011,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,476,427,903,,,,,,,,,122523,,,122523,88225,80496,,168721,,,,,,,,,69731,51685,,121416,,,,,,,,,,,,,,,,,288201,,,288201,34163,44212,,78375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55055,60427,,115482,,66342,,66342,,,,,,,,,23072,22564,,45636,,,,,,,,,,,,,22222,,,22222,,,,,,,,,,,,,,40666,,40666,,,,,,,,,,,,,,,,,703192,366392,,633093,1702677
2012,145691,00168800,Illinois College,IL,NCAA Division III (with football),,1,NCAA,485,468,953,,,,,,,,,126131,,,126131,125952,87489,,213441,,,,,,,,,70763,60448,,131211,,,,,,,,,,,,,,,,,298744,,,298744,32998,36980,,69978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60419,62667,,123086,,56730,,56730,,,,,,,,,26271,26505,,52776,,,,,,,,,,,,,16301,29944,,46245,,,,,,,,,,,,,,47678,,47678,,,,,,,,,,,,,,,,,757579,408441,,629585,1795605
