Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Head Coach,Men's Team Number of Head Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Head Coach,Women's Team Number of Head Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Head Coach,Coed Team Number of Head Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2003,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,28339,9,43974,5.80,27163,8,38804,5.60,,,,
2004,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,22037,9,46998,4.22,11932,8,39940,2.39,,,,
2005,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,22450,9,47879,4.22,12170,8,40736,2.39,,,,
2006,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,24359,7,54477,3.13,14752,7,44319,2.33,,,,
2007,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,23510,7,51428,3.20,15026,7,40455,2.60,,,,
2008,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,25090,8,59035,3.40,14485,8,39959,2.90,,,,
2009,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,25900,8,60941,3.40,15418,8,42532,2.90,,,,
2010,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,27256,8,53182,4.10,18135,8,42671,3.40,,,,
2011,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,27445,8,48255,4.55,16739,8,44637,3.00,,,,
2012,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,27935,8,53851,4.15,16544,9,39706,3.75,,,,
2013,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,29786,8,53911,4.42,14549,9,35776,3.66,,,,
2014,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,33619,8,56149,4.79,25292,8,38986,5.19,,,,
2015,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,36609,8,57766,5.00,28410,8,43540,5.00,,,,
2016,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,35836,8,54607,5.25,30628,8,45375,5.40,,,,
2017,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,37926,8,57792,5.25,33287,8,49314,5.40,,,,
2018,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,33333,8,51779,5.15,32065,8,50397,5.09,,,,
2019,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,32985,8,49140,5.37,29495,8,45203,5.22,,,,
2020,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,30130,8,45652,5.28,31986,8,49881,5.13,,,,
2021,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,38542,8,57099,5.40,38220,8,58240,5.25,,,,
2022,145691,00168800,Illinois College,IL,NCAA Division III with football,,1,NCAA,466,518,984,36068,8,53434,5.40,34938,8,52244,5.35,,,,
