#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
10.0,"Alabi, Tolu 10 Alabi, Tolu",23,33.5,0.447,0.154,0.626,2.6,4.9,7.5,1.8,1.4,0.3,13.4
13.0,"Hirsh, Alissa 13 Hirsh, Alissa",23,32.2,0.425,0.296,0.765,0.5,2.9,3.4,4.3,1.5,0.1,11.2
15.0,"Briggs, Michelle 15 Briggs, Michelle",23,26.8,0.394,1.0,0.539,3.1,7.3,10.4,1.0,1.1,4.0,10.0
23.0,"DeGroot, Rebecca 23 DeGroot, Rebecca",3,28.3,0.452,0.182,0.286,1.3,5.7,7.0,0.3,1.3,0.3,10.7
24.0,"Boldt, Anne 24 Boldt, Anne",23,25.6,0.368,0.309,0.833,0.8,2.2,3.0,0.9,1.2,0.2,7.2
20.0,"Jaeger, Abby 20 Jaeger, Abby",23,29.1,0.357,0.387,0.676,0.7,1.3,2.0,1.3,1.0,0.2,5.2
5.0,"Coleman, Cristal 05 Coleman, Cristal",21,12.9,0.342,0.346,0.5,0.3,1.2,1.5,0.7,0.6,0.1,5.4
21.0,"Clarke, Kelly 21 Clarke, Kelly",21,8.3,0.288,0.225,1.0,0.2,0.5,0.8,0.1,0.1,0.1,2.0
22.0,"Gogins, Karen 22 Gogins, Karen",19,7.2,0.386,0.24,0.333,0.5,0.6,1.1,0.1,0.3,0.1,2.2
34.0,"Burnett, Elizabeth 34 Burnett, Elizabeth",23,13.6,0.417,0.0,0.308,1.4,2.5,3.9,0.4,0.3,1.1,1.9
12.0,"Plemmons, Alex 12 Plemmons, Alex",22,7.6,0.619,0.0,0.667,0.5,0.9,1.4,0.2,0.1,0.0,1.5
14.0,"Matosky, Jordan 14 Matosky, Jordan",17,6.5,0.143,0.0,0.75,0.4,0.5,0.8,0.1,0.1,0.1,0.4
11.0,"Miller, Isabelle 11 Miller, Isabelle",10,4.9,0.667,0.0,0.5,0.3,0.7,1.0,0.0,0.0,0.0,0.6
44.0,"Schellinger, Jordan 44 Schellinger, Jordan",6,1.5,0.667,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.7
,Total,23,204.3,0.4,0.299,0.637,12.4,28.4,40.8,11.0,7.7,6.0,61.04
,Opponents,23,204.3,0.351,0.25,0.715,15.2,25.1,40.3,13.7,11.0,1.9,62.91
