Name,GP,MIN,MIN/G
"#10 Alabi, Tolu",23,771,33.5
"#13 Hirsh, Alissa",23,740,32.2
"#20 Jaeger, Abby",23,669,29.1
"#15 Briggs, Michelle",23,616,26.8
"#24 Boldt, Anne",23,589,25.6
"#34 Burnett, Elizabeth",23,312,13.6
"#05 Coleman, Cristal",21,270,12.9
"#21 Clarke, Kelly",21,175,8.3
"#12 Plemmons, Alex",22,168,7.6
"#22 Gogins, Karen",19,136,7.2
"#14 Matosky, Jordan",17,111,6.5
"#23 DeGroot, Rebecca",3,85,28.3
"#11 Miller, Isabelle",10,49,4.9
"#44 Schellinger, Jordan",6,9,1.5
