Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1
at Central College,11/15/12,56-63,L,22-63,0.349,4-20,0.2,8-15,0.533,20,25,45,45.0,25,10,18,7,3,56,56.0
vs Benedictine College,11/25/12,52-65,L,20-50,0.4,2-9,0.222,10-14,0.714,8,31,39,42.0,16,9,23,11,6,52,54.0
at Knox College,11/28/12,78-75,W,34-66,0.515,0-0,,10-26,0.385,16,47,63,49.0,24,12,33,3,11,78,62.0
vs Ripon College,12/01/12,57-56,W (2 OT),19-56,0.339,4-17,0.235,15-26,0.577,11,32,43,47.5,11,11,24,7,10,57,60.8
at Wartburg College,12/02/12,56-55,W (OT),20-49,0.408,8-16,0.5,8-10,0.8,12,33,45,47.0,15,16,32,7,7,56,59.8
at Monmouth College,12/04/12,45-57,L,17-57,0.298,6-23,0.261,5-7,0.714,10,22,32,44.5,13,9,15,3,10,45,57.3
at St. Norbert College,12/08/12,55-61,L (OT),21-53,0.396,3-6,0.5,10-13,0.769,13,21,34,43.0,22,4,22,3,4,55,57.0
vs Illinois College,12/11/12,67-50,W,25-65,0.385,2-16,0.125,15-21,0.714,13,31,44,43.1,20,10,15,9,11,67,58.3
at St. Ambrose,12/15/12,81-94,L,31-55,0.564,7-13,0.538,12-16,0.75,12,28,40,42.8,18,12,29,4,4,81,60.8
vs Beloit College,01/02/13,62-55,W,22-68,0.324,5-13,0.385,13-15,0.867,16,32,48,43.3,16,11,22,8,10,62,60.9
at Carroll University,01/05/13,46-60,L,19-57,0.333,4-18,0.222,4-7,0.571,14,20,34,42.5,22,10,19,6,4,46,59.5
at Cornell College,01/09/13,45-66,L,15-53,0.283,4-15,0.267,11-18,0.611,12,24,36,41.9,17,8,22,8,11,45,58.3
vs Lawrence University,01/12/13,60-38,W,17-62,0.274,4-18,0.222,22-31,0.71,17,39,56,43.0,16,8,19,8,8,60,58.5
at Illinois College,01/15/13,71-68,W,27-60,0.45,0-7,0.0,17-27,0.63,16,28,44,43.1,25,11,22,11,15,71,59.4
at Ripon College,01/19/13,55-63,L,19-51,0.373,1-8,0.125,16-30,0.533,10,22,32,42.3,22,4,12,4,10,55,59.1
vs Monmouth College,01/23/13,55-73,L,20-52,0.385,6-17,0.353,9-13,0.692,10,21,31,41.6,15,11,26,5,9,55,58.8
vs Lake Forest College,01/26/13,63-49,W,22-49,0.449,3-15,0.2,16-29,0.552,14,29,43,41.7,14,11,18,1,8,63,59.1
vs Knox College,01/29/13,94-75,W,41-70,0.586,0-0,,12-18,0.667,14,46,60,42.7,14,25,28,7,10,94,61.0
at Beloit College,02/02/13,73-81,L,26-57,0.456,4-14,0.286,17-26,0.654,11,28,39,42.5,22,11,20,5,7,73,61.6
vs Ashford University,02/06/13,50-44,W,17-50,0.34,4-9,0.444,12-18,0.667,6,25,31,42.0,15,9,11,8,9,50,61.1
vs St. Norbert College,02/09/13,47-62,L,17-47,0.362,5-15,0.333,8-9,0.889,9,24,33,41.5,5,10,18,6,4,47,60.4
vs Cornell College,02/12/13,57-69,L,24-54,0.444,7-17,0.412,2-5,0.4,8,18,26,40.8,18,15,14,5,1,57,60.2
at Lawrence University,02/16/13,79-68,W,26-60,0.433,10-25,0.4,17-28,0.607,13,28,41,40.8,15,15,15,3,5,79,61.0
Grinnell College,,-,,521-1304,0.4,93-311,0.299,269-422,0.637,285,654,939,40.8,400,252,477,139,177,1404,61.0
Opponents,,-,,507-1443,0.351,102-408,0.25,331-463,0.715,350,578,928,40.3,381,315,373,44,254,1447,62.9
