#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,AST/G,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,AST/G,TO,STL,BLK,Bio Link
10,"Alabi, Tolu 10 Alabi, Tolu",18,18.0,611,33.9,101,224,0.451,2,10,0.2,57,91,0.626,261,14.5,52,92,144,8.0,36,35,1.9,55,29,6,View Bio
13,"Hirsh, Alissa 13 Hirsh, Alissa",18,17.0,571,31.7,75,173,0.434,5,22,0.227,54,68,0.794,209,11.6,8,52,60,3.3,26,78,4.3,59,29,2,View Bio
23,"DeGroot, Rebecca 23 DeGroot, Rebecca",2,1.0,53,26.5,9,20,0.45,2,5,0.4,2,7,0.286,22,11.0,3,12,15,7.5,1,1,0.5,8,4,1,View Bio
15,"Briggs, Michelle 15 Briggs, Michelle",18,18.0,488,27.1,67,167,0.401,1,1,1.0,38,72,0.528,173,9.6,54,134,188,10.4,52,20,1.1,57,19,63,View Bio
24,"Boldt, Anne 24 Boldt, Anne",18,16.0,479,26.6,46,124,0.371,19,66,0.288,24,30,0.8,135,7.5,15,38,53,2.9,45,16,0.9,46,24,4,View Bio
20,"Jaeger, Abby 20 Jaeger, Abby",18,16.0,521,28.9,32,96,0.333,9,26,0.346,18,29,0.621,91,5.1,12,21,33,1.8,37,20,1.1,40,19,4,View Bio
05,"Coleman, Cristal 05 Coleman, Cristal",17,0.0,204,12.0,26,88,0.295,19,62,0.306,6,14,0.429,77,4.5,7,20,27,1.6,26,13,0.8,21,10,1,View Bio
21,"Clarke, Kelly 21 Clarke, Kelly",16,2.0,144,9.0,12,43,0.279,7,33,0.212,2,2,1.0,33,2.1,4,7,11,0.7,17,2,0.1,4,2,2,View Bio
34,"Burnett, Elizabeth 34 Burnett, Elizabeth",18,1.0,246,13.7,16,39,0.41,0,0,0.0,4,13,0.308,36,2.0,26,37,63,3.5,40,6,0.3,24,5,18,View Bio
22,"Gogins, Karen 22 Gogins, Karen",16,1.0,109,6.8,12,32,0.375,4,18,0.222,1,3,0.333,29,1.8,6,12,18,1.1,11,2,0.1,10,4,1,View Bio
12,"Plemmons, Alex 12 Plemmons, Alex",17,0.0,117,6.9,10,16,0.625,0,0,0.0,8,12,0.667,28,1.6,9,16,25,1.5,14,1,0.1,12,2,0,View Bio
44,"Schellinger, Jordan 44 Schellinger, Jordan",4,0.0,6,1.5,2,2,1.0,0,0,0.0,0,0,0.0,4,1.0,1,0,1,0.3,0,0,0.0,0,0,0,View Bio
14,"Matosky, Jordan 14 Matosky, Jordan",13,0.0,89,6.8,1,10,0.1,0,1,0.0,3,4,0.75,5,0.4,5,6,11,0.8,4,2,0.2,10,1,0,View Bio
11,"Miller, Isabelle 11 Miller, Isabelle",7,0.0,37,5.3,2,3,0.667,0,0,0.0,2,4,0.5,6,0.9,3,7,10,1.4,2,0,0.0,5,0,0,View Bio
TM,Team  TM Team,18,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,22,58,80,4.4,0,0,0.0,13,0,0,
,Total,18,,3675,204.2,411,1037,0.396,68,244,0.279,219,349,0.628,1109,61.61,227,512,739,41.1,311,196,10.9,364,148,102,
,Opponents,18,,3675,204.2,396,1128,0.351,82,319,0.257,252,352,0.716,1126,62.56,272,469,741,41.2,311,241,13.4,310,193,38,
