#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
10.0,"Alabi, Tolu 10 Alabi, Tolu",23,22.0,771,122,273,0.447,2,13,0.154,62,99,0.626,308,13.4
13.0,"Hirsh, Alissa 13 Hirsh, Alissa",23,21.0,740,94,221,0.425,8,27,0.296,62,81,0.765,258,11.2
15.0,"Briggs, Michelle 15 Briggs, Michelle",23,22.0,616,87,221,0.394,1,1,1.0,55,102,0.539,230,10.0
23.0,"DeGroot, Rebecca 23 DeGroot, Rebecca",3,1.0,85,14,31,0.452,2,11,0.182,2,7,0.286,32,10.7
24.0,"Boldt, Anne 24 Boldt, Anne",23,20.0,589,53,144,0.368,25,81,0.309,35,42,0.833,166,7.2
20.0,"Jaeger, Abby 20 Jaeger, Abby",23,19.0,669,41,115,0.357,12,31,0.387,25,37,0.676,119,5.2
5.0,"Coleman, Cristal 05 Coleman, Cristal",21,0.0,270,39,114,0.342,28,81,0.346,8,16,0.5,114,5.4
21.0,"Clarke, Kelly 21 Clarke, Kelly",21,2.0,175,15,52,0.288,9,40,0.225,2,2,1.0,41,2.0
22.0,"Gogins, Karen 22 Gogins, Karen",19,1.0,136,17,44,0.386,6,25,0.24,1,3,0.333,41,2.2
34.0,"Burnett, Elizabeth 34 Burnett, Elizabeth",23,1.0,312,20,48,0.417,0,0,0.0,4,13,0.308,44,1.9
12.0,"Plemmons, Alex 12 Plemmons, Alex",22,1.0,168,13,21,0.619,0,0,0.0,8,12,0.667,34,1.5
14.0,"Matosky, Jordan 14 Matosky, Jordan",17,0.0,111,2,14,0.143,0,1,0.0,3,4,0.75,7,0.4
11.0,"Miller, Isabelle 11 Miller, Isabelle",10,0.0,49,2,3,0.667,0,0,0.0,2,4,0.5,6,0.6
44.0,"Schellinger, Jordan 44 Schellinger, Jordan",6,0.0,9,2,3,0.667,0,0,0.0,0,0,0.0,4,0.7
,Total,23,,4700,521,1304,0.4,93,311,0.299,269,422,0.637,1404,61.04
,Opponents,23,,4700,507,1443,0.351,102,408,0.25,331,463,0.715,1447,62.91
