Name,GP,Pts,Pts/G
"#10 Alabi, Tolu",23,308,13.4
"#13 Hirsh, Alissa",23,258,11.2
"#15 Briggs, Michelle",23,230,10.0
"#24 Boldt, Anne",23,166,7.2
"#20 Jaeger, Abby",23,119,5.2
"#05 Coleman, Cristal",21,114,5.4
"#34 Burnett, Elizabeth",23,44,1.9
"#21 Clarke, Kelly",21,41,2.0
"#22 Gogins, Karen",19,41,2.2
"#12 Plemmons, Alex",22,34,1.5
"#23 DeGroot, Rebecca",3,32,10.7
"#14 Matosky, Jordan",17,7,0.4
"#11 Miller, Isabelle",10,6,0.6
"#44 Schellinger, Jordan",6,4,0.7
