Statistic,High,Player,Opponent
POINTS,27,Tolu Alabi,Knox College (01/29/13)
FIELD GOALS MADE,12,Tolu Alabi,Knox College (01/29/13)
FIELD GOAL ATTEMPTS,20,Tolu Alabi,Lawrence University (01/12/13); Knox College (01/29/13)
3 PT FIELD GOALS MADE,5,Cristal Coleman,St. Ambrose (12/15/12)
3 PT FG ATTEMPTS,9,Cristal Coleman,St. Ambrose (12/15/12); Carroll University (01/05/13)
FREE THROWS MADE,9,Anne Boldt; Tolu Alabi,Benedictine College (11/25/12); Beloit College (01/02/13)
FREE THROW ATTEMPTS,14,Tolu Alabi,Lake Forest College (01/26/13)
REBOUNDS,17,Michelle Briggs,Central College (11/15/12)
ASSISTS,9,Alissa Hirsh,Knox College (01/29/13)
STEALS,5,Alissa Hirsh,Illinois College (01/15/13)
BLOCKED SHOTS,8,Michelle Briggs,Benedictine College (11/25/12); Illinois College (01/15/13)
TURNOVERS,9,Anne Boldt,St. Ambrose (12/15/12)
FOULS,5,Michelle Briggs; Anne Boldt,Illinois College (12/11/12); St. Norbert College (12/08/12); St. Ambrose (12/15/12); Carroll University (01/05/13); Illinois College (01/15/13); Ripon College (01/19/13); Beloit College (02/02/13)
