Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Carchidi, Eva",SR-4,26.23,Midwest Conference Indoor Championships,"Feb 23, 2024",NWI
,"Voinescu, Isa",SO-2,27.56,Liz Wuertz Indoor Meet,"Feb 17, 2024",NWI
,"Crowe, Maile",JR-3,27.58,Midwest Conference Indoor Championships,"Feb 23, 2024",NWI
,"Voinescu, Isa",SO-2,27.6,Darren Young Classic,"Feb 10, 2024",NWI
,"Crowe, Maile",JR-3,28.16,Liz Wuertz Indoor Meet,"Feb 17, 2024",NWI
,"Crowe, Maile",JR-3,28.52,Darren Young Classic,"Feb 10, 2024",NWI
,"Leonard, Millie",FR-1,28.54,Darren Young Classic,"Feb 10, 2024",NWI
,"Leonard, Millie",FR-1,28.83,Grinnell Invitational,"Jan 27, 2024",NWI
,"Crowe, Maile",JR-3,28.88,Grinnell Invitational,"Jan 27, 2024",NWI
,"Goodman, Jessie",SO-2,28.89,Liz Wuertz Indoor Meet,"Feb 17, 2024",NWI
,"Taylor, Ava",JR-3,28.91,Liz Wuertz Indoor Meet,"Feb 17, 2024",NWI
,"Goodman, Jessie",SO-2,29.01,Midwest Conference Indoor Championships,"Feb 23, 2024",NWI
,"Goodman, Jessie",SO-2,29.03,Grinnell Invitational,"Jan 27, 2024",NWI
,"Thompson, Klaire",FR-1,29.85,Darren Young Classic,"Feb 10, 2024",NWI
,"Thompson, Klaire",FR-1,30.09,Liz Wuertz Indoor Meet,"Feb 17, 2024",NWI
,"Phillips, KaLanna",FR-1,30.37,Liz Wuertz Indoor Meet,"Feb 17, 2024",NWI
,"Thompson, Klaire",FR-1,30.55,Hilltop Invitational,"Jan 20, 2024",NWI
,"Phillips, KaLanna",FR-1,31.9,Darren Young Classic,"Feb 10, 2024",NWI
,"Natalie, Alexandra",SO-2,33.21,Darren Young Classic,"Feb 10, 2024",NWI
