Unnamed: 0,Time,Athletes,Meet,Meet Date
,13:28.14,"Charron, Ong, Rabbani, Roth",Midwest Conference Indoor Championships,"Feb 23, 2024"
,13:31.57,"Karow, Rabbani, Charron, Miyamoto",Darren Young Classic,"Feb 10, 2024"
