Unnamed: 0,Time,Athletes,Meet,Meet Date
,10:43.07 #,"Snyder, James, Williams, Hill",Midwest Conference Indoor Championships,"Feb 23, 2024"
,11:23.34 #,"Ramsey, Ching, Williams, Goodell",Darren Young Classic,"Feb 10, 2024"
