0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,Rel.,,Career,Career,Career
Player,Rounds,Strokes,Round,Rounds,Events,1,5,10,To Par,Average,Rounds,Strokes,Average
Mallory Messin,10,830,78,-,5,-,3,3,+11,83.0,-,-,-
Elizabeth Burnett,10,871,79,-,5,-,1,1,+15,87.1,-,-,-
Kayleigh Kresse,9,801,83,-,5,-,-,1,+17,89.0,-,-,-
Alex Plemmons,14,1248,80,-,7,-,-,2,+17,89.1,-,-,-
Natalie Klee,10,893,83,-,5,-,1,2,+17,89.3,-,-,-
Stephanie Spahr,14,1256,81,-,7,-,-,1,+18,89.7,-,-,-
Hailey Speck,10,914,83,-,5,-,1,3,+19,91.4,-,-,-
Elaine Teo,5,474,89,-,3,-,-,1,+23,94.8,-,-,-
FOUR-PLAYER TEAM,14,4897,330,-,7,-,6,14,+62,349.8,,,
