0,1,2,3,4,5,6,7
Tournament,Dates,Rounds,Place,Teams,Players,Par,Score
Wartburg College Women's Fall Invite,9/10/11 & 9/11/11,2,7,21,104,+87,663
Illinois Wesleyan Fall Invitational,9/17-18/2011,2,14,27,133,+101,677
Central College Fall Invitational,"Sept. 23-24, 2011",2,2,6,35,+117,693
Grinnell College Invitational,"Oct 1, 2011",1,1,6,39,+58,346
Midwest Conference Championships,10/7-9/2011,3,2,7,38,+164,1028
IWU Spring Fling,"Apr 14-15, 2012",2,18,18,88,+165,741
Central College Spring Inv.,"April 20-21, 2012",2,3,7,41,+173,749
