Stat,Value,Player/Opponent
Rushes,38,vs Macalester (9/3/2011)
Yards Rushing,127,vs Macalester (9/3/2011)
TD Rushes,3,vs Beloit College (10/1/2011)
Pass Attempts,60,vs Carroll University (11/5/2011)
Pass Completions,36,vs St. Norbert College (10/22/2011)
Yards Passing,476,vs St. Norbert College (10/22/2011)
TD Passes,5,vs Lake Forest College (9/24/2011)
