Opponent,Score,First Downs,First Downs,First Downs,First Downs,Rushing,Passing,Passing,Plays-Yards,Return Yards,Turnovers
Opponent,Score,Total,Rush,Pass,Pen,Att-Yards,Comp-Att-Int,Yards,Plays-Yards,Return Yards,Turnovers
Macalester,6-31,21/11,8/5,13/4,0/2,38-127 / 25-109,23-42-1 / 16-35-2,350/143,80-477 / 60-252,64/74,1/5
Monmouth College,61-20,19/29,5/14,13/14,1/1,31-58 / 46-298,27-46-1 / 22-29-0,342/365,77-400 / 75-663,76/102,1/2
Ripon College,20-38,14/26,4/18,9/5,1/3,17-85 / 61-267,19-39-1 / 12-17-1,213/126,56-298 / 78-393,121/57,2/1
Lake Forest College,49-34,22/23,4/7,16/15,2/1,26-70 / 34-126,27-39-0 / 31-46-1,338/317,65-408 / 80-443,136/131,0/2
Beloit College,21-28,24/21,9/7,13/12,2/2,30-107 / 23-46,30-51-1 / 24-39-0,333/254,81-440 / 62-300,77/61,1/2
Knox College,43-35,18/20,7/7,11/10,0/3,34-117 / 37-105,21-33-1 / 17-33-3,313/201,67-430 / 70-306,66/64,1/3
Lawrence University,15-17,13/13,3/5,8/6,2/2,30-41 / 28-65,17-39-1 / 19-42-1,151/181,69-192 / 70-246,80/65,3/1
St. Norbert College,30-28,23/23,2/5,18/18,3/0,12--2 / 31-168,36-57-4 / 22-34-1,476/329,69-474 / 65-497,98/163,4/1
Illinois College,16-48,18/30,2/10,13/20,3/0,13-41 / 43-217,29-55-2 / 29-40-0,233/438,68-274 / 83-655,112/80,2/0
Carroll University,31-21,19/13,5/6,11/6,3/1,25-96 / 52-120,23-60-1 / 8-21-2,307/162,85-403 / 73-282,90/54,1/2
