Date,Opponent,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Field Goals,Field Goals,Field Goals,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Date,Opponent,TOT,YDS,AVG,Long,BLKD,TB,FC,50+,IN20,FGM-FGA,Long,BLKD,TOT,YDS,AVG,TB,OB
9/3/2011,Macalester,6,263,43.8,53,0,1,1,2,1,1-1,37.0,0,6,251,41.83,0,1
9/10/2011,Monmouth College,8,242,30.2,45,0,1,1,0,1,0-0,,0,4,217,54.25,0,0
9/17/2011,Ripon College,6,187,37.5,47,0,0,2,0,2,0-0,,0,3,144,48.0,0,0
9/24/2011,Lake Forest College,1,19,19.0,19,0,0,0,0,0,0-0,,0,8,440,55.0,0,0
10/1/2011,Beloit College,2,72,36.0,37,0,1,1,0,0,0-2,0.0,1,5,240,48.0,0,0
10/8/2011,Knox College,6,174,29.0,40,0,1,0,0,1,0-1,0.0,0,6,333,55.5,1,0
10/15/2011,Lawrence University,6,251,25.1,79,1,0,0,1,2,1-1,27.0,0,4,192,48.0,0,0
10/22/2011,St. Norbert College,2,99,49.5,63,0,0,0,1,1,0-0,,0,4,203,50.75,0,0
10/29/2011,Illinois College,3,119,39.7,52,0,0,0,1,2,0-1,0.0,0,3,152,50.67,0,0
11/5/2011,Carroll University,8,180,22.5,43,0,0,0,0,1,0-0,,0,3,169,56.33,0,0
