Date,Opponent,Result,Score,ATT,Scored,PTS,TDS,TDS,TDS,FGS,FGS,Failed to Score,Failed to Score,Failed to Score,Failed to Score,Failed to Score
Date,Opponent,Result,Score,ATT,Scored,PTS,TOT,Rush,Pass,FGM,FGA,Downs,INT,FUM,Half,Game
9/3/2011,Macalester,W,31-6,4,4,24,3,0,3,1,0,0,0,0,0,0
9/10/2011,Monmouth College,L,20-61,3,2,14,2,0,2,0,0,1,0,0,0,0
9/17/2011,Ripon College,L,20-38,2,2,13,2,0,2,0,0,0,0,0,0,0
9/24/2011,Lake Forest College,W,49-34,7,5,35,5,2,3,0,0,2,0,0,0,0
10/1/2011,Beloit College,W,28-21,3,2,14,2,2,0,0,1,0,0,0,0,0
10/8/2011,Knox College,W,43-35,4,3,22,3,2,1,0,1,0,0,0,0,0
10/15/2011,Lawrence University,W,17-15,4,3,17,2,0,2,1,0,0,0,1,0,0
10/22/2011,St. Norbert College,L,28-30,4,3,20,3,0,3,0,0,1,0,0,0,0
10/29/2011,Illinois College,L,16-48,4,2,14,2,0,2,0,1,0,1,0,0,0
11/5/2011,Carroll University,L,21-31,3,2,14,2,2,0,0,0,1,0,0,0,0
,TOTALS,,,38,28,187,26,8,18,2,3,5,1,1,0,0
