Date,Opponent,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Date,Opponent,ATT,YDS,TD,Long,ATT,YDS,TD,Long,YDS,TD,Long,ATT,YDS,TD,Long,ATT,YDS,TD,Long
9/3/2011,Macalester,25,109,1,36,16,143,0,50,143,0,50,5,59,0,17,3,20,0,17
9/10/2011,Monmouth College,46,298,4,44,22,365,4,63,365,4,63,4,85,0,28,1,0,0,0
9/17/2011,Ripon College,61,267,5,22,12,126,0,18,126,0,18,3,46,0,20,0,0,0,0
9/24/2011,Lake Forest College,34,126,3,17,31,317,2,35,317,2,35,8,131,0,29,0,0,0,0
10/1/2011,Beloit College,23,46,1,11,24,254,2,44,254,2,44,5,61,0,20,0,0,0,0
10/8/2011,Knox College,37,105,2,16,17,201,3,26,201,3,26,4,50,0,17,2,7,0,7
10/15/2011,Lawrence University,28,65,1,17,19,181,1,58,181,1,58,3,43,0,18,2,9,0,0
10/22/2011,St. Norbert College,31,168,2,53,22,329,1,53,329,1,53,4,82,0,25,1,14,0,14
10/29/2011,Illinois College,43,217,3,27,29,438,4,80,438,4,80,3,52,0,24,0,0,0,0
11/5/2011,Carroll University,52,120,2,17,8,162,2,40,162,2,40,4,39,0,24,2,6,0,6
