#,Player,TD,FG,SAF,Points After Touchdown,Points After Touchdown,Points After Touchdown,Points After Touchdown,Points After Touchdown,PTS,Bio Link
#,Player,TD,FG,SAF,KICK,RUSH,RCV,PASS,DXP,PTS,Bio Link
82.0,"Seer, Robert 82 Seer, Robert",18,0,0,0-0,0-0,0,0-0,0,108,View Bio
2.0,"Granera, Logan 2 Granera, Logan",4,2,0,26-29,0-0,0,0-0,0,56,View Bio
5.0,"Weber, Cody 5 Weber, Cody",9,0,0,0-0,0-0,0,0-0,0,54,View Bio
10.0,"Peters, Jason 10 Peters, Jason",4,0,0,0-0,0-0,3,0-0,0,30,View Bio
11.0,"McCabe, Mike 11 McCabe, Mike",2,0,0,0-0,0-0,0,0-1,0,12,View Bio
1.0,"Baker, Trent 1 Baker, Trent",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
42.0,"Munger, Daniel 42 Munger, Daniel",0,0,0,5-5,0-0,0,0-0,0,5,View Bio
9.0,"Taylor, Brian 9 Taylor, Brian",0,0,1,0-0,0-0,0,0-0,0,2,View Bio
,Total,38,2,1,31-34,0-0,3,3-4,0,273,
,Opponents,44,5,0,34-39,0-0,2,2-5,1,321,
