Stat,Value,Player/Opponent
Rushes,37,Joe Beckstrand vs Carroll University (11/5/2011)
Yards Rushing,165,Trey Yocum vs Monmouth College (9/10/2011)
TD Rushes,3,Trey Yocum vs Monmouth College (9/10/2011)
Long Rush,53,Craig Fagan vs St. Norbert College (10/22/2011)
Pass Attempts,46,Pete Scaffidi vs Lake Forest College (9/24/2011)
Pass Completions,31,Pete Scaffidi vs Lake Forest College (9/24/2011)
Yards Passing,438,Michael Bates vs Illinois College (10/29/2011)
TD Passes,4,Alex Tanney vs Monmouth College (9/10/2011)
,4,Michael Bates vs Illinois College (10/29/2011)
Longest Pass,80,Michael Bates vs Illinois College (10/29/2011)
Receptions,14,Kevin Davis vs Lake Forest College (9/24/2011)
Yards Receiving,214,Brock Thompson vs Illinois College (10/29/2011)
TD Receptions,4,Brock Thompson vs Illinois College (10/29/2011)
Longest Reception,80,Brock Thompson vs Illinois College (10/29/2011)
Field Goals,1,Matt Batton vs Monmouth College (9/10/2011)
,1,Sam Mason vs St. Norbert College (10/22/2011)
,1,Tyler Raymaker vs Carroll University (11/5/2011)
,1,Jacob Gahart vs Ripon College (9/17/2011)
,1,DyllanEichhorst vs Lawrence University (10/15/2011)
Longest Field Goal,45,Jacob Gahart vs Ripon College (9/17/2011)
Punts,8,Tyler Raymaker vs Carroll University (11/5/2011)
,8,Jimenez vs Macalester (9/3/2011)
Longest Punt,56,Tyler Raymaker vs Carroll University (11/5/2011)
,56,Marshall Zahn vs Ripon College (9/17/2011)
Longest Punt Return,17,Adams vs Macalester (9/3/2011)
Longest Kickoff Return,29,Darrius McKay vs Lake Forest College (9/24/2011)
Tackles,11,Mike Hendrick vs Knox College (10/8/2011)
,11,Mike Dziewit vs Carroll University (11/5/2011)
,11,Dykema vs Macalester (9/3/2011)
Interceptions,2,Austin Arts vs St. Norbert College (10/22/2011)
