#,Player,NO,YDS,AVG,TD,Long,Bio Link
2.0,"Granera, Logan 2 Granera, Logan",10,99,9.9,0,24,View Bio
13.0,"Sandoval, Emmi 13 Sandoval, Emmi",5,41,8.2,0,14,View Bio
5.0,"Weber, Cody 5 Weber, Cody",1,8,8.0,0,0,View Bio
1.0,"Baker, Trent 1 Baker, Trent",1,6,6.0,0,6,View Bio
,Total,17,154,9.06,0,24,
,Opponents,11,56,5.09,0,17,
