#,Player,GP,Solo,ASST,TOT,TFL-YDS,Sacks-YDS,INT,BU,QBH,FR,FF,KICK,SAF,Bio Link
44,"Blumberg, Drew 44 Blumberg, Drew",10,38,47,85.0,1.0-2,0-0,1,4,0,0,1,0,0,View Bio
16,"Davis, Kelsey 16 Davis, Kelsey",10,32,44,76.0,1.5-1,0-0,2,4,0,0,1,0,0,View Bio
45,"Feller, Colton 45 Feller, Colton",10,29,45,74.0,7.5-25,2.0-5,0,1,0,0,3,0,0,View Bio
54,"Wiles, Jeremy 54 Wiles, Jeremy",10,30,42,72.0,6.0-26,2.0-13,0,2,0,3,1,0,0,View Bio
9,"Taylor, Brian 9 Taylor, Brian",10,16,52,68.0,11.5-47,7.0-39,0,2,0,0,0,0,1,View Bio
24,"Renteria, Rich 24 Renteria, Rich",10,28,28,56.0,4.5-18,2.0-13,0,0,0,1,1,0,0,
35,"Creps, Ryan 35 Creps, Ryan",10,18,32,50.0,7.0-21,0.5-1,0,3,0,0,0,0,0,View Bio
66,"Brinkman, Tom 66 Brinkman, Tom",10,24,23,47.0,6.0-16,2.0-6,0,1,0,1,1,0,0,View Bio
52,"Ternes, David 52 Ternes, David",10,11,34,45.0,2.0-5,0-0,0,1,0,0,0,0,0,View Bio
25,"Gustafson, Seth 25 Gustafson, Seth",10,22,16,38.0,2.0-5,0-0,1,1,0,0,0,0,0,View Bio
20,"Keller, Max 20 Keller, Max",10,17,13,30.0,0-0,0-0,1,2,0,0,0,0,0,View Bio
32,"Clark, Andrew 32 Clark, Andrew",10,14,12,26.0,0-0,0-0,6,2,0,1,0,0,0,View Bio
60,"Harris, Ki 60 Harris, Ki",10,7,18,25.0,1.5-6,0.5-4,0,0,0,0,0,0,0,View Bio
58,"John, Matt 58 John, Matt",9,9,9,18.0,3.5-16,2.5-15,0,0,0,0,1,0,0,View Bio
5,"Weber, Cody 5 Weber, Cody",10,10,4,14.0,0-0,0-0,0,0,0,1,0,1,0,View Bio
21,"Hwang, Kevin 21 Hwang, Kevin",3,6,5,11.0,1.0-2,0-0,0,1,0,1,0,0,0,View Bio
13,"Sandoval, Emmi 13 Sandoval, Emmi",10,4,6,10.0,1.0-3,0-0,0,2,0,0,0,0,0,View Bio
63,"Guen-Murray, Edward 63 Guen-Murray, Edward",9,2,4,6.0,0.5-2,0.5-2,0,0,0,0,0,0,0,View Bio
33,"Westerlind, Bri 33 Westerlind, Bri",3,2,4,6.0,0.5-0,0-0,0,0,0,0,0,0,0,
34,"Desjardin, Clay 34 Desjardin, Clay",4,2,2,4.0,0-0,0-0,0,0,0,0,0,0,0,
42,"Munger, Daniel 42 Munger, Daniel",10,0,4,4.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
82,"Seer, Robert 82 Seer, Robert",10,4,0,4.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
41,"Mertes, John 41 Mertes, John",5,1,2,3.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
6,"Singh-mann, Har 6 Singh-mann, Har",8,1,2,3.0,0-0,0-0,0,0,0,0,0,0,0,
18,"Howard, Seth 18 Howard, Seth",5,1,1,2.0,0-0,0-0,0,0,0,0,1,0,0,View Bio
26,"Ryerson, Daniel 26 Ryerson, Daniel",7,0,2,2.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
2,"Granera, Logan 2 Granera, Logan",10,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
62,"Kinsinger, Morg 62 Kinsinger, Morg",8,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,
10,"Peters, Jason 10 Peters, Jason",10,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
TM,Team TM Team,6,1,0,1.0,1.0-2,0-0,0,0,0,0,1,0,0,
8,"Jacobson, Max 8 Jacobson, Max",8,0,0,0.0,0-0,0-0,0,0,0,0,0,4,0,View Bio
,Total,10,331,452,783.0,58.0-197,19.0-98,11,26,0,8,11,5,1,
,Opponents,10,307,307,614.0,55.0-235,29.0-178,13,42,1,3,1,3,0,
